#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
3845,Levi Jordan,682119,682119,sa3007976,CHC,2B,2B
3846,Levi Kelly,669189,669189,sa3008500,ARI,SP,SP
3847,Levi Prater,686246,686246,sa3014861,STL,SP,SP
3848,Levi Stoudt,686651,686651,sa3014545,SEA,SP,SP
3849,Lewin De La Cruz,692548,692548,sa3015640,ARI,SS,SS
3850,Lewin Diaz,650331,650331,18365,MIA,1B,1B
3851,Lewis Brinson,621446,14352,14352,HOU,OF,OF
3852,Lewis Thorpe,626929,626929,15906,FA,RP,RP
3853,Lexer Saduy,691418,691418,sa3015536,CLE,OF,OF
3854,Liam Hendriks,521230,3548,3548,CHW,RP,RP
3855,Liam Norris,691005,691005,sa3014543,ARI,SP,SP
3856,Liam Sabino,656925,656925,sa3007821,SEA,2B,2B
3857,Liam Spence,687608,687608,sa3017289,CHC,SS,SS
3858,Linton Crim,688760,688760,sa3010170,TEX,1B,1B
3859,Liover Peguero,678894,678894,sa3005582,PIT,SS,SS
3860,Lisandro Almonte,699226,699226,sa3015497,ARI,SP,SP
3861,Listher Sosa,683538,683538,sa3009725,ARI,RP,RP
3862,Livan Soto,670869,670869,sa3004264,FA,2B,2B
3863,Lizandro Espinoza,692371,692371,sa3015611,SL,2B,2B
3864,Lizandro Rodriguez,691497,691497,sa3016094,KC,2B,2B
3865,Lizardo Ruiz,684226,684226,sa3008930,CHC,SS,SS
3866,Ljay Newsome,664714,664714,19942,FA,SP,SP
3867,Locke St. John,657766,657766,16850,NYM,RP,RP
3868,Logan Allen,671106,671106,sa3014444,CLE,SP,SP
3869,Logan Allen,663531,663531,18555,FA,RP,RP
3870,Logan Brown,682204,682204,sa3006938,ATL,C,C
3871,Logan Campbell,702055,702055,sa3017424,MIN,RP,RP
3872,Logan Cerny,681488,681488,sa3017661,HOU,OF,OF
3873,Logan Cozart,664910,664910,sa875283,COL,RP,RP
3874,Logan Davidson,669722,669722,sa918676,OAK,SS,SS
3875,Logan Driscoll,686482,686482,sa3009882,TB,C,C
3876,Logan Forsythe,523253,7185,7185,FA,2B,1B/2B
3877,Logan Gilbert,669302,669302,22250,SEA,SP,SP
3878,Logan Gillaspie,670810,670810,sa3008386,BAL,RP,RP
3879,Logan Gragg,685401,685401,sa3010306,STL,SP,SP
