Season,Name,Team,Level,Age,IP,ERA,G,GS,SV,BS,HLD,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,xFIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2022,"Zach Neal","COL","AAA",33,33.2,6.683167307158017,7,7,0,0,,151,45,26,25,8,4,0,3,1,0,29,7.752474076303301,1.0693067691452829,7.25,2.1386135382905658,0.19205298,0.02649007,0.16556291,0.3125,1.4554453246699683,0.34579439,0.6372549,5.891585296767024,0.791582010390993,5.067942637374644,1.225,0.21929825,0.42982456,0.35087719,0.175,0.2,0.52173913,0.26086957,0.2173913,0.11710037,179,359,538,"11294"
2022,"Tommy Kahnle","LAD","AAA",32,2.2,3.374995674943506,3,0,0,0,,10,1,1,1,0,1,0,0,0,0,3,10.124987024830519,3.374995674943506,3,0,0.3,0.1,0.2,0.11111111,0.7499990388763347,0.16666667,0.5,2.7764880292099123,0.5985076457335938,4.921598519315927,1,0,0.5,0.5,0,0,0.16666667,0.16666667,0.66666667,0.19444444,12,24,36,"11384"
2022,"Tommy Kahnle","LAD","A",32,3.2,2.4545431669114683,5,3,0,0,,16,5,1,1,0,0,0,0,0,0,4,9.818172667645873,0,4,0,0.25,0,0.25,0.3125,1.3636350927285934,0.41666667,0.8,1.7239300254928933,0.730613141418575,3.3426968782841016,1.5,0.16666667,0.5,0.33333333,0,0,0.41666667,0.41666667,0.16666667,0.23529412,13,38,51,"11384"
2022,"Zach Lee","COL","AAA",30,16.1,3.8571436078487333,17,0,0,0,,70,10,9,7,1,11,0,0,0,0,18,9.918369277325315,6.061225669476581,1.63636364,0.551020515406962,0.25714286,0.15714286,0.1,0.16949153,1.2857145359495779,0.225,0.6122449,4.513731604643261,-0.6565879967945274,5.001962754344681,2,0.15384615,0.56410256,0.28205128,0.09090909,0.09090909,0.51219512,0.17073171,0.31707317,0.13745704,121,170,291,"11468"
2022,"Bryan Mitchell","MIA","AAA",31,18.1,9.818183520608992,8,3,0,0,,99,34,21,20,4,10,0,1,3,0,15,7.363637640456744,4.909091760304496,1.5,1.9636367041217984,0.15151515,0.1010101,0.05050505,0.38636364,2.4000004161488646,0.43478261,0.60913706,6.467689748243942,3.3504937723650494,6.465135244446844,1.03125,0.10958904,0.45205479,0.43835616,0.125,0.125,0.42465753,0.21917808,0.35616438,0.0906801,140,257,397,"11479"
2022,"Aaron Sanchez","WSN","AAA",29,15,3.6,3,3,0,0,,61,17,6,6,2,5,0,0,1,0,10,6,3,2,1.2,0.16393443,0.08196721,0.08196722,0.30357143,1.4666666666666666,0.34090909,0.83333333,4.867689228057861,-1.2676892280578609,4.541420846184095,1.61538462,0.26086957,0.45652174,0.2826087,0.23076923,0.15384615,0.45652174,0.30434783,0.23913043,0.07860262,88,141,229,"11490"
2022,"Tommy Hunter","NYM","AAA",35,0.2,40.499796019031784,1,0,0,0,,7,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57142857,5.999969780597302,0.57142857,-0.25,3.467689228057861,37.03210679097392,3.467689228057861,3,0.5,0.5,0,0,0,0.42857143,0,0.57142857,0,9,13,22,"1157"
2022,"Carlos Martinez","BOS","AAA",30,4.1,20.769246005458836,2,2,0,0,,25,9,10,10,1,3,0,0,1,0,4,8.307698402183535,6.230773801637651,1.33333333,2.0769246005458837,0.16,0.12,0.04,0.40909091,2.7692328007278446,0.47058824,0.18867925,6.698460828907013,14.070785176551823,5.57177132828023,1.8,0.22222222,0.5,0.27777778,0.2,0.2,0.38888889,0.27777778,0.33333333,0.07407407,43,65,108,"11682"
2022,"Kyle Ryan","STL","AAA",30,17,4.235294117647059,14,0,0,0,,79,19,8,8,3,8,0,3,1,0,13,6.882352941176471,4.235294117647059,1.625,1.588235294117647,0.16455696,0.10126582,0.06329114,0.27941176,1.588235294117647,0.30769231,0.85271318,6.173571580999038,-1.9382774633519793,5.216483978313558,1.71428571,0.28301887,0.45283019,0.26415094,0.28571429,0.21428571,0.36363636,0.32727273,0.30909091,0.08923077,140,185,325,"11753"
2022,"Alberto Baldonado","WSN","AAA",29,16.2,4.8599990730287415,16,0,2,0,,71,13,9,9,0,10,0,0,0,0,19,10.259998043060676,5.399998970031935,1.9,0,0.26760563,0.14084507,0.12676056,0.21311475,1.379999736785939,0.30952381,0.60869565,2.9876893196105785,1.872309753418163,4.83852055658935,0.63157895,0.26190476,0.28571429,0.45238095,0.21052632,0,0.28571429,0.30952381,0.4047619,0.1516129,121,189,310,"11812"
