Season,Name,Team,PA,HR,SB,K%,BB%,BABIP,ISO,HR/FB,FB%,wRC+,SwStr%,O-Swing%,Swing%,Contact%,maxEV,Barrel%,playerid,seasonct,seasonid
2006,Michael Barrett,CHC,418,16,0,9.80%,7.90%,0.308,0.211,13.30%,35.70%,122,5.80%,22.60%,44.30%,86.90%,,,762,1,762s1
2006,Alfonso Soriano,WSN,728,46,41,22.00%,9.20%,0.3,0.283,18.30%,51.40%,129,12.90%,32.50%,50.60%,74.00%,,,847,1,847s1
2006,Carlos Delgado,NYM,618,38,0,19.40%,12.00%,0.269,0.282,22.90%,40.10%,128,11.70%,23.60%,46.30%,74.40%,,,1297,1,1297s1
2006,Todd Helton,COL,649,15,3,9.90%,14.00%,0.317,0.174,7.50%,41.00%,116,4.40%,21.30%,46.90%,90.40%,,,432,1,432s1
2006,James Loney,LAD,111,4,1,9.00%,7.20%,0.284,0.275,11.10%,39.10%,126,7.30%,22.90%,46.70%,84.30%,,,4556,1,4556s1
2006,Andruw Jones,ATL,669,41,4,19.00%,12.30%,0.264,0.269,22.00%,41.60%,124,11.60%,21.40%,43.70%,73.10%,,,96,1,96s1
2006,Carlos Lee,- - -,695,37,19,9.40%,8.30%,0.281,0.24,16.10%,40.40%,123,6.40%,24.40%,47.10%,86.40%,,,243,1,243s1
2006,Lyle Overbay,TOR,640,22,5,15.00%,8.60%,0.342,0.196,14.20%,31.80%,124,7.90%,20.80%,44.40%,82.00%,,,1617,1,1617s1
2006,Bill Hall,MIL,608,35,8,26.60%,10.40%,0.32,0.283,19.40%,47.90%,124,12.50%,20.70%,44.80%,71.90%,,,1605,1,1605s1
2006,Scott Rolen,STL,594,22,7,11.60%,9.40%,0.301,0.223,10.00%,47.60%,126,6.30%,20.50%,45.50%,86.10%,,,970,1,970s1
2006,Miguel Tejada,BAL,709,24,6,11.10%,6.50%,0.345,0.168,15.50%,27.00%,125,7.60%,27.70%,49.50%,84.40%,,,941,1,941s1
2006,Mark Teixeira,TEX,727,33,2,17.60%,12.20%,0.304,0.232,15.90%,40.90%,121,8.30%,21.60%,41.80%,79.90%,,,1281,1,1281s1
2006,Jorge Posada,NYY,545,23,3,17.80%,11.70%,0.303,0.215,14.60%,42.20%,125,8.40%,21.40%,43.00%,80.40%,,,841,1,841s1
2006,Morgan Ensberg,HOU,495,23,1,19.40%,20.40%,0.251,0.227,16.40%,47.60%,124,9.60%,13.00%,38.50%,74.70%,,,556,1,556s1
2006,Marcus Thames,DET,390,26,1,23.60%,9.50%,0.273,0.293,17.10%,59.10%,124,13.40%,23.80%,50.00%,73.20%,,,1523,1,1523s1
2006,Mark Teahen,KCR,439,18,10,19.40%,9.10%,0.329,0.226,16.50%,35.40%,123,9.80%,26.20%,47.60%,79.20%,,,4511,1,4511s1
2006,Victor Martinez,CLE,652,16,0,12.00%,10.90%,0.341,0.149,9.30%,34.40%,123,6.60%,20.90%,44.00%,84.70%,,,393,1,393s1
2006,Scott Spiezio,STL,321,13,1,20.60%,11.50%,0.312,0.225,13.80%,45.60%,123,8.60%,21.00%,45.00%,80.90%,,,37,1,37s1
2006,Gary Matthews Jr.,TEX,690,19,10,14.30%,8.40%,0.343,0.182,11.90%,30.20%,118,7.60%,20.10%,43.80%,82.40%,,,153,1,153s1
2006,Nick Swisher,OAK,672,35,1,22.60%,14.40%,0.283,0.239,17.90%,47.60%,124,11.70%,17.10%,40.70%,70.90%,,,4599,1,4599s1
2006,Jeff Kent,LAD,473,14,1,14.60%,11.60%,0.321,0.184,9.50%,43.40%,123,8.20%,19.70%,45.70%,81.80%,,,1119,1,1119s1
2006,Nomar Garciaparra,LAD,523,20,3,5.70%,8.00%,0.288,0.203,10.90%,41.50%,122,7.10%,25.40%,54.10%,86.60%,,,190,1,190s1
2006,Michael Cuddyer,MIN,635,24,6,20.50%,9.80%,0.328,0.221,15.70%,35.40%,123,10.30%,25.70%,43.50%,76.30%,,,1534,1,1534s1
2006,Gabe Gross,MIL,252,9,1,23.80%,14.30%,0.338,0.202,14.10%,42.40%,120,8.70%,16.60%,36.80%,76.20%,,,2184,1,2184s1
2006,Rich Aurilia,CIN,481,23,3,10.60%,7.10%,0.295,0.218,14.10%,42.10%,118,6.80%,21.90%,45.60%,85.20%,,,1106,1,1106s1
