bbpct,kpct,bbperk,avg,obp,slg,ops,iso,babip,wsb,wrc,wraa,woba,wrcplus,gbperfb,ldpct,gbpct,fbpct,iffbpct,hrperfb,pullpct,centpct,oppopct,swstrpct,playerid,playeridlevel,date,playeridunique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,,,,,,,,,,,11812,11812-AAA,2022-06-18,11812-AAA-2022-06-18-WSN
0.05882353,0.24705882,0.23809524,0.18987342,0.23529412,0.27848101,0.51377513,0.08860759,0.22807018,0.3283064584247768,3.121068122420203,-9.425877613391984,0.2307198103736428,24.87512250500835,1.9375,0.20338983,0.52542373,0.27118644,0.25,0.125,0.49152542,0.13559322,0.37288136,0.15488215,11863,11863-AAA,2022-06-18,11863-AAA-2022-06-18-ARI
0.0,0.16666667,0.0,0.16666667,0.16666667,0.33333333,0.5,0.16666666,0.2,0.0,0.256034222658426,-0.4496408428589994,0.2225658694903055,36.28216939629189,0.5,0.4,0.2,0.4,0.5,0.0,0.4,0.2,0.4,0.05,12037,12037-A,2022-06-18,12037-A-2022-06-18-MIA
0.27586207,0.20689655,1.33333333,0.30952381,0.5,0.52380952,1.02380952,0.21428571,0.39285714,0.2987855859100818,14.351311584609189,5.789866258996164,0.4588186802535221,167.62720590733426,1.625,0.25,0.46428571,0.28571429,0.125,0.25,0.56666667,0.13333333,0.3,0.07843137,12092,12092-AAA,2022-06-18,12092-AAA-2022-06-18-HOU
0.05737705,0.12295082,0.46666667,0.31858407,0.36065574,0.48672566,0.8473814,0.16814159,0.35051546,-0.7658817619085312,20.009125925778665,3.9641709403984815,0.3713250878404398,124.706650433177,1.62962963,0.2755102,0.44897959,0.2755102,0.11111111,0.07407407,0.44,0.2,0.36,0.0862423,12140,12140-AAA,2022-06-18,12140-AAA-2022-06-18-CIN
0.11792453,0.28773585,0.40983607,0.22099448,0.33018868,0.36464088,0.69482956,0.1436464,0.29565217,0.2811213433742523,25.36709395121008,-2.514303236499727,0.3188941031694412,90.9821476320848,0.47692308,0.19327731,0.2605042,0.54621849,0.23076923,0.09230769,0.44628099,0.21487603,0.33884298,0.13945578,12174,12174-AAA,2022-06-18,12174-AAA-2022-06-18-PHI
0.16483516,0.21978022,0.75,0.23943662,0.36263736,0.38028169,0.74291905,0.14084507,0.2962963,-0.2250087079592049,12.236997333912372,-1.195615159721851,0.3365370290619986,91.09916138585506,1.38888889,0.2037037,0.46296296,0.33333333,0.05555556,0.05555556,0.46296296,0.2962963,0.24074074,0.085,12198,12198-AAA,2022-06-18,12198-AAA-2022-06-18-ARI
0.08,0.295,0.27118644,0.24858757,0.32,0.42937853,0.74937853,0.18079096,0.33043478,0.1933538983575999,24.90662679826494,-4.615598462469618,0.3257778239250183,84.3656823911289,1.20454545,0.19166667,0.44166667,0.36666667,0.25,0.13636364,0.42622951,0.29508197,0.27868852,0.18242344,12225,12225-AAA,2022-06-18,12225-AAA-2022-06-18-COL
0.0923913,0.33695652,0.27419355,0.23170732,0.30978261,0.40853659,0.7183192,0.17682927,0.32291667,0.7876382097601891,22.083733966850595,-2.115214535689993,0.3193246213638264,91.259064271045,1.82142857,0.21,0.51,0.28,0.14285714,0.25,0.44660194,0.23300971,0.32038835,0.16619718,12294,12294-AAA,2022-06-18,12294-AAA-2022-06-18-STL
0.14285714,0.11428571,1.25,0.31034483,0.42857143,0.5862069,1.01477833,0.27586207,0.30434783,-0.046389942523092,7.905503113917137,2.7391136932885893,0.4354750275611877,153.0179487119526,0.9,0.24,0.36,0.4,0.2,0.2,0.6,0.2,0.2,0.04255319,12371,12371-AAA,2022-06-18,12371-AAA-2022-06-18-SFG
0.2,0.30769231,0.65,0.17647059,0.33846154,0.31372549,0.65218703,0.1372549,0.23333333,-0.1556784883141517,7.274116199763942,-1.2744253908074628,0.3097366177118741,85.09189693581082,1.36363636,0.1875,0.46875,0.34375,0.09090909,0.18181818,0.53125,0.15625,0.3125,0.08394161,12384,12384-AAA,2022-06-18,12384-AAA-2022-06-18-BAL
0.1,0.15714286,0.63636364,0.23387097,0.30714286,0.37096774,0.6781106,0.13709677,0.26470588,-0.1307352925650775,14.343296639773984,-6.322261042740208,0.3018754729202815,69.40677266072677,1.1,0.17647059,0.43137255,0.39215686,0.15,0.05,0.45192308,0.19230769,0.35576923,0.0539629,12394,12394-AAA,2022-06-18,12394-AAA-2022-06-18-SFG
0.15306122,0.21428571,0.71428571,0.25609756,0.36734694,0.5,0.86734694,0.24390244,0.26785714,-0.229420930147171,16.728489997882193,3.839919599789922,0.3792330957188898,129.7932158585897,0.51612903,0.21666667,0.26666667,0.51666667,0.25806452,0.19354839,0.53225806,0.25806452,0.20967742,0.06976744,12399,12399-AAA,2022-06-18,12399-AAA-2022-06-18-CIN
0.13071895,0.11111111,1.17647059,0.31496063,0.41176471,0.62204724,1.03381195,0.30708661,0.29807692,-0.3093540580011904,33.97521565900519,11.39071333454325,0.4313493721625384,150.43597229151973,0.67924528,0.1981982,0.32432432,0.47747748,0.22641509,0.16981132,0.5,0.27192982,0.22807018,0.08333333,12434,12434-AAA,2022-06-18,12434-AAA-2022-06-18-LAD
0.04545455,0.28571429,0.15909091,0.23448276,0.27272727,0.45517241,0.72789968,0.22068965,0.28421053,-0.0730705261230468,17.59982358010092,-2.653644188329789,0.3125442719304716,86.8978279736073,1.14285714,0.24242424,0.4040404,0.35353535,0.34285714,0.2,0.46078431,0.28431373,0.25490196,0.24324324,12547,12547-AAA,2022-06-18,12547-AAA-2022-06-18-CHC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,,,,,,,,,,,12575,12575-AAA,2022-06-18,12575-AAA-2022-06-18-SEA
