idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3014510-AA-PIT,Nick Gonzales,PIT,23,AA,70,0.341,0.257,0.175,0.129,0.937,0.415,0.333,0.429,0.509,6,2,1,1,0.512,0.293,0.195,18,2022-06-01
sa918131-AA-CHW,Tyler Neslony,CHW,28,AA,57,0.84,0.158,0.265,0.105,0.937,0.297,0.286,0.386,0.551,7,3,5,2,0.378,0.541,0.054,18,2022-06-01
sa3005625-AA-LAD,Andy Pages,LAD,21,AA,66,0.709,0.167,0.236,0.106,0.936,0.333,0.291,0.409,0.527,8,2,0,1,0.476,0.238,0.333,18,2022-06-01
sa3010703-AA-DET,Andrew Navigato,DET,24,AA,45,0.577,0.133,0.154,0.067,0.935,0.382,0.359,0.422,0.513,4,1,3,0,0.353,0.412,0.235,18,2022-06-01
sa3004285-AA-DET,Dylan Rosa,DET,26,AA,43,0.259,0.442,0.229,0.186,0.933,0.571,0.286,0.419,0.514,4,2,1,1,0.286,0.286,0.357,18,2022-06-01
sa3009873-AA-TOR,Tanner Morris,TOR,24,AA,56,0.331,0.161,0.106,0.143,0.932,0.447,0.362,0.464,0.468,5,0,0,1,0.342,0.342,0.316,18,2022-06-01
sa3010862-AA-NYM,Francisco Alvarez,NYM,20,AA,69,0.451,0.246,0.222,0.072,0.932,0.386,0.333,0.377,0.556,6,4,0,0,0.295,0.477,0.205,18,2022-06-01
sa3003219-AA-TOR,Rafael Lantigua,TOR,24,AA,63,0.563,0.143,0.161,0.079,0.931,0.408,0.357,0.413,0.518,8,0,0,2,0.327,0.347,0.327,18,2022-06-01
sa828331-AA-LAA,Jose Gomez,LAA,25,AA,48,0.4,0.167,0.133,0.062,0.928,0.459,0.378,0.417,0.511,6,0,0,2,0.324,0.378,0.27,18,2022-06-01
sa3007030-AA-SFG,Frankie Tostado,SFG,24,AA,62,0.53,0.21,0.222,0.097,0.924,0.35,0.315,0.387,0.537,6,3,2,0,0.375,0.475,0.15,18,2022-06-01
sa3009965-AA-COL,Brenton Doyle,COL,24,AA,57,0.538,0.263,0.283,0.053,0.918,0.333,0.302,0.333,0.585,7,4,4,0,0.361,0.389,0.278,18,2022-06-01
sa1169950-AA-PIT,Aaron Shackelford,PIT,25,AA,48,0.71,0.229,0.326,0.104,0.915,0.25,0.256,0.333,0.581,6,4,1,0,0.5,0.357,0.143,18,2022-06-01
sa3008247-AA-CLE,Bo Naylor,CLE,22,AA,57,0.487,0.228,0.222,0.158,0.915,0.324,0.289,0.404,0.511,6,2,1,1,0.471,0.353,0.176,18,2022-06-01
sa3003377-AA-HOU,Jose Alvarez,HOU,22,AA,45,0.183,0.333,0.122,0.067,0.91,0.56,0.366,0.422,0.488,3,1,1,0,0.24,0.52,0.28,18,2022-06-01
sa3006671-AA-BOS,Devlin Granberg,BOS,26,AA,60,0.719,0.15,0.216,0.067,0.91,0.357,0.294,0.4,0.51,9,0,1,0,0.357,0.405,0.238,18,2022-06-01
sa3010157-AA-COL,Daniel Cope,COL,25,AA,25,0.608,0.24,0.292,0.0,0.903,0.312,0.292,0.32,0.583,3,2,0,0,0.5,0.375,0.188,18,2022-06-01
sa3007312-AA-LAD,James Outman,LAD,25,AA,69,0.325,0.391,0.254,0.101,0.902,0.448,0.271,0.377,0.525,9,3,1,0,0.31,0.414,0.31,18,2022-06-01
sa3004051-AA-CHW,Lenyn Sosa,CHW,22,AA,67,0.851,0.149,0.254,0.03,0.9,0.302,0.317,0.328,0.571,7,4,0,0,0.321,0.453,0.226,18,2022-06-01
sa3014940-AA-SFG,Robert Emery,SFG,25,AA,26,0.354,0.269,0.19,0.154,0.899,0.385,0.286,0.423,0.476,2,1,0,0,0.615,0.462,0.0,18,2022-06-01
sa3008079-AA-NYM,Carlos Cortes,NYM,25,AA,30,0.303,0.367,0.222,0.1,0.885,0.467,0.296,0.367,0.519,4,1,0,0,0.6,0.2,0.2,18,2022-06-01
sa3008391-AA-OAK,JJ Schwarz,OAK,26,AA,22,0.579,0.136,0.158,0.136,0.883,0.333,0.316,0.409,0.474,1,1,0,0,0.4,0.467,0.2,18,2022-06-01
sa1053075-AA-OAK,Marty Bechina,OAK,25,AA,22,0.434,0.182,0.158,0.136,0.883,0.4,0.316,0.409,0.474,3,0,0,2,0.467,0.333,0.2,18,2022-06-01
sa3014499-AA-BAL,Jordan Westburg,BAL,23,AA,63,0.359,0.302,0.217,0.048,0.883,0.436,0.317,0.349,0.533,9,2,1,0,0.256,0.385,0.359,18,2022-06-01
sa3002878-AA-STL,Irving Lopez,STL,27,AA,17,0.378,0.176,0.133,0.118,0.878,0.417,0.333,0.412,0.467,2,0,0,0,0.083,0.417,0.5,18,2022-06-01
25931-AA-ATL,Michael Harris II,ATL,21,AA,196,0.505,0.199,0.201,0.087,0.878,0.358,0.305,0.372,0.506,23,5,11,3,0.373,0.463,0.172,18,2022-06-01
sa3006909-AA-TEX,Jonathan Ornelas,TEX,22,AA,61,0.394,0.197,0.155,0.049,0.877,0.422,0.345,0.377,0.5,6,1,1,1,0.222,0.533,0.244,18,2022-06-01
sa3016853-AA-LAA,Zach Humphreys,LAA,24,AA,45,0.203,0.2,0.081,0.156,0.877,0.433,0.351,0.444,0.432,2,0,1,1,0.333,0.533,0.133,18,2022-06-01
sa3008238-AA-SDP,Korry Howell,SDP,23,AA,39,0.371,0.308,0.229,0.051,0.876,0.417,0.314,0.333,0.543,4,1,1,0,0.333,0.417,0.292,18,2022-06-01
sa1170316-AA-KCR,Jake Means,KCR,26,AA,48,0.429,0.25,0.214,0.104,0.875,0.379,0.286,0.375,0.5,7,1,0,0,0.31,0.345,0.31,18,2022-06-01
sa969045-AA-LAA,Kevin Maitan,LAA,22,AA,50,0.141,0.26,0.073,0.16,0.875,0.481,0.341,0.46,0.415,1,1,1,1,0.222,0.556,0.222,18,2022-06-01
sa3014464-AA-STL,Jordan Walker,STL,20,AA,61,0.367,0.262,0.192,0.131,0.874,0.4,0.288,0.393,0.481,7,1,1,0,0.2,0.543,0.286,18,2022-06-01
