idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa875030-AA-CHW,Jagger Rusconi,CHW,25,AA,12,0.3,0.167,0.1,0.083,0.55,0.2,0.2,0.25,0.3,1,0,1,0,0.5,0.4,0.1,7,2022-06-03
sa3017332-A-COL,Braiden Ward,COL,23,A,10,0.0,0.1,0.0,0.0,0.55,0.222,0.25,0.3,0.25,0,0,1,0,0.333,0.444,0.111,7,2022-06-03
sa3015727-A-MIL,Hendry Mendez,MIL,18,A,17,0.531,0.118,0.125,0.059,0.548,0.214,0.188,0.235,0.312,2,0,0,0,0.071,0.857,0.143,7,2022-06-03
11155-AAA-MIN,Elliot Soto,MIN,32,AAA,18,0.092,0.389,0.071,0.222,0.548,0.286,0.143,0.333,0.214,1,0,0,0,0.0,0.857,0.143,7,2022-06-03
16542-AAA-BAL,Shed Long Jr.,BAL,26,AAA,18,0.092,0.389,0.071,0.222,0.548,0.286,0.143,0.333,0.214,1,0,0,0,0.286,0.714,0.0,7,2022-06-03
sa3017295-A-CHC,James Triantos,CHC,19,A,25,0.0,0.16,0.0,0.08,0.547,0.278,0.227,0.32,0.227,0,0,3,0,0.444,0.5,0.056,7,2022-06-03
sa3017694-A-WSN,Brady House,WSN,19,A,23,0.156,0.304,0.095,0.087,0.547,0.286,0.19,0.261,0.286,2,0,0,0,0.0,0.714,0.357,7,2022-06-03
sa857232-AAA-SDP,Brett Sullivan,SDP,28,AAA,17,0.0,0.118,0.0,0.059,0.544,0.286,0.25,0.294,0.25,0,0,0,0,0.214,0.571,0.214,7,2022-06-03
sa3017221-A-ATL,Adam Zebrowski,ATL,21,A,23,0.0,0.261,0.0,0.087,0.542,0.333,0.238,0.304,0.238,0,0,0,0,0.4,0.4,0.2,7,2022-06-03
sa3005579-A+-CLE,Jhonkensy Noel,CLE,20,A+,27,0.324,0.185,0.12,0.037,0.542,0.19,0.2,0.222,0.32,1,1,0,0,0.429,0.476,0.095,7,2022-06-03
sa658811-AAA-DET,Josh Lester,DET,27,AAA,24,0.3,0.167,0.1,0.167,0.542,0.188,0.15,0.292,0.25,2,0,1,0,0.312,0.375,0.25,7,2022-06-03
sa875753-A+-NYY,James Nelson,NYY,24,A+,16,0.0,0.25,0.0,0.25,0.542,0.25,0.167,0.375,0.167,0,0,4,2,0.125,0.875,0.0,7,2022-06-03
sa3010155-A-KCR,Omar Hernandez,KCR,20,A,19,0.088,0.316,0.056,0.053,0.541,0.333,0.222,0.263,0.278,1,0,1,0,0.5,0.333,0.167,7,2022-06-03
sa3011754-A-TBR,Shane Sasaki,TBR,21,A,25,0.136,0.16,0.043,0.08,0.541,0.263,0.217,0.28,0.261,1,0,0,0,0.421,0.368,0.211,7,2022-06-03
sa3010870-A-ATL,Kadon Morton,ATL,21,A,22,0.0,0.227,0.0,0.227,0.54,0.25,0.176,0.364,0.176,0,0,1,0,0.167,0.417,0.417,7,2022-06-03
sa3017284-A-OAK,Shane McGuire,OAK,23,A,14,0.0,0.071,0.0,0.357,0.54,0.125,0.111,0.429,0.111,0,0,0,1,0.375,0.625,0.125,7,2022-06-03
sa3014817-A+-SEA,Justin Lavey,SEA,24,A+,14,0.0,0.286,0.0,0.214,0.539,0.286,0.182,0.357,0.182,0,0,1,0,0.143,0.714,0.0,7,2022-06-03
sa3017331-A+-TBR,Dru Baker,TBR,22,A+,13,0.083,0.462,0.077,0.0,0.538,0.429,0.231,0.231,0.308,1,0,0,0,0.143,0.429,0.429,7,2022-06-03
18900-AAA-TEX,Leody Taveras,TEX,23,AAA,23,0.261,0.348,0.182,0.0,0.538,0.2,0.182,0.174,0.364,2,1,0,0,0.4,0.6,0.0,7,2022-06-03
sa736824-AA-MIA,Ray-Patrick Didder,MIA,27,AA,23,0.523,0.174,0.182,0.0,0.538,0.2,0.182,0.174,0.364,4,0,1,0,0.35,0.4,0.2,7,2022-06-03
sa916966-A+-NYY,Carlos Narvaez,NYY,23,A+,16,0.0,0.25,0.0,0.312,0.538,0.167,0.1,0.438,0.1,0,0,1,0,0.333,0.5,0.167,7,2022-06-03
sa3008771-A+-HOU,Cristian Gonzalez,HOU,20,A+,22,0.129,0.409,0.105,0.136,0.536,0.3,0.158,0.273,0.263,1,0,0,0,0.4,0.5,0.1,7,2022-06-03
sa3011471-AAA-CHW,Yolbert Sanchez,CHW,25,AAA,24,0.229,0.208,0.095,0.083,0.536,0.25,0.19,0.25,0.286,2,0,0,0,0.062,0.562,0.375,7,2022-06-03
sa3008883-A-SEA,Milkar Perez,SEA,20,A,16,0.286,0.25,0.143,0.125,0.536,0.2,0.143,0.25,0.286,2,0,0,0,0.3,0.5,0.2,7,2022-06-03
sa3015648-A-COL,Yanquiel Fernandez,COL,19,A,23,0.261,0.261,0.136,0.043,0.536,0.25,0.182,0.217,0.318,3,0,0,0,0.25,0.5,0.25,7,2022-06-03
sa3010337-A+-KCR,Tyler Tolbert,KCR,24,A+,23,0.0,0.348,0.0,0.0,0.534,0.429,0.273,0.261,0.273,0,0,3,0,0.143,0.643,0.214,7,2022-06-03
sa3011821-A-TBR,Willy Vasquez,TBR,20,A,23,0.075,0.304,0.045,0.043,0.534,0.333,0.227,0.261,0.273,1,0,0,0,0.4,0.533,0.067,7,2022-06-03
sa3008378-A-PHI,Albert Jerez,PHI,21,A,10,0.139,0.4,0.111,0.0,0.533,0.286,0.222,0.2,0.333,1,0,0,0,0.286,0.571,0.143,7,2022-06-03
sa3017903-A-MIN,Dillon Tatum,MIN,22,A,12,0.0,0.5,0.0,0.0,0.533,0.5,0.2,0.333,0.2,0,0,0,0,0.25,0.25,0.25,7,2022-06-03
sa3007010-AA-TEX,Josh Stowers,TEX,25,AA,20,0.0,0.3,0.0,0.3,0.533,0.167,0.083,0.45,0.083,0,0,1,1,0.833,0.167,0.0,7,2022-06-03
sa917065-A+-COL,Cristopher Navarro,COL,23,A+,12,0.0,0.25,0.0,0.167,0.533,0.286,0.2,0.333,0.2,0,0,0,0,0.286,0.571,0.143,7,2022-06-03
sa738445-AA-MIA,Luis Aviles Jr.,MIA,27,AA,25,0.174,0.24,0.083,0.04,0.532,0.278,0.208,0.24,0.292,2,0,2,0,0.167,0.5,0.333,7,2022-06-03
sa3009538-A-BOS,Eddinson Paulino,BOS,19,A,24,0.114,0.208,0.048,0.125,0.53,0.25,0.19,0.292,0.238,1,0,4,0,0.438,0.312,0.25,7,2022-06-03
sa3015874-A-HOU,Leosdany Molina,HOU,22,A,22,0.0,0.182,0.0,0.091,0.529,0.267,0.211,0.318,0.211,0,0,1,0,0.267,0.733,0.0,7,2022-06-03
sa829082-AAA-TEX,Nick Tanielu,TEX,29,AAA,20,0.185,0.3,0.111,0.05,0.528,0.25,0.167,0.25,0.278,2,0,0,0,0.417,0.333,0.25,7,2022-06-03
sa3016960-A+-ATL,Tyler Tolve,ATL,21,A+,18,0.141,0.222,0.062,0.111,0.528,0.25,0.188,0.278,0.25,1,0,1,0,0.333,0.417,0.167,7,2022-06-03
12779-AAA-LAD,Andy Burns,LAD,31,AAA,16,0.0,0.438,0.0,0.125,0.527,0.429,0.214,0.312,0.214,0,0,2,0,0.286,0.143,0.571,7,2022-06-03
16959-AAA-LAD,Eddy Alvarez,LAD,32,AAA,28,0.051,0.393,0.04,0.107,0.526,0.357,0.2,0.286,0.24,1,0,0,0,0.286,0.571,0.143,7,2022-06-03
sa658616-AAA-SDP,C.J. Hinojosa,SDP,27,AAA,21,0.375,0.19,0.143,0.0,0.524,0.235,0.19,0.19,0.333,2,0,1,0,0.588,0.176,0.235,7,2022-06-03
sa3005942-A-TBR,Oneill Manzueta,TBR,21,A,21,0.25,0.286,0.143,0.0,0.524,0.267,0.19,0.19,0.333,2,0,0,0,0.333,0.467,0.2,7,2022-06-03
sa3015077-A+-NYY,Aaron Palensky,NYY,23,A+,10,0.0,0.3,0.0,0.1,0.522,0.333,0.222,0.3,0.222,0,0,0,1,0.167,0.667,0.167,7,2022-06-03
