idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Pull%,Cent%,Oppo%,Date,hmm
sa3014484-A+-SFG,Casey Schmitt,SFG,23,A+,145,157,0.214,0.209,0.114,0.097,0.899,0.359,0.31,0.379,0.519,0.171,7,6,0,1,1,0.461,0.393,0.146,0.461,0.393,0.146,2022-06-03,0.3196264171311409
sa3014485-A+-KCR,Tyler Gentry,KCR,23,A+,123,152,0.268,0.17,0.103,0.106,0.897,0.429,0.321,0.407,0.491,0.222,4,4,1,2,1,0.247,0.507,0.247,0.247,0.507,0.247,2022-06-03,0.2782187084275681
sa3014489-A+-OAK,Tyler Soderstrom,OAK,20,A+,181,109,0.276,0.247,0.131,0.072,0.763,0.262,0.229,0.287,0.476,0.238,10,9,1,0,0,0.365,0.487,0.148,0.365,0.487,0.148,2022-06-03,0.3162541918506233
sa3014500-AA-MIL,Freddy Zamora,MIL,23,AA,100,46,0.22,0.077,0.093,0.05,0.556,0.261,0.209,0.27,0.286,0.04,1,4,0,4,0,0.368,0.485,0.147,0.368,0.485,0.147,2022-06-03,0.12945069919823318
sa3014506-AA-STL,Masyn Winn,STL,20,AA,39,166,0.179,0.364,0.068,0.128,1.107,0.36,0.333,0.41,0.697,0.4,2,6,0,1,0,0.2,0.44,0.36,0.2,0.44,0.36,2022-06-03,0.49033202038175117
sa3014506-A+-STL,Masyn Winn,STL,20,A+,147,166,0.197,0.217,0.087,0.088,0.97,0.431,0.349,0.404,0.566,0.022,1,11,7,15,0,0.464,0.392,0.144,0.464,0.392,0.144,2022-06-03,0.35842572307972526
sa3014510-AA-PIT,Nick Gonzales,PIT,23,AA,186,111,0.328,0.13,0.172,0.134,0.742,0.374,0.247,0.366,0.377,0.091,4,8,0,4,1,0.468,0.351,0.181,0.468,0.351,0.181,2022-06-03,0.2005427903013173
sa3014524-A+-PHI,Casey Martin,PHI,23,A+,169,48,0.231,0.11,0.141,0.065,0.549,0.237,0.188,0.25,0.299,0.035,2,7,2,7,1,0.504,0.319,0.177,0.504,0.319,0.177,2022-06-03,0.16396189778400508
sa3014528-AA-DET,Dillon Dingler,DET,23,AA,177,106,0.322,0.155,0.156,0.085,0.745,0.368,0.252,0.339,0.406,0.143,4,10,1,0,0,0.289,0.412,0.299,0.289,0.412,0.299,2022-06-03,0.23046405283093938
sa3014544-A-CLE,Milan Tolentino,CLE,20,A,167,164,0.192,0.111,0.09,0.168,0.928,0.448,0.356,0.461,0.467,0.042,1,12,0,8,1,0.226,0.415,0.358,0.226,0.415,0.358,2022-06-03,0.2357488462270564
sa3014546-A+-BOS,Nick Yorke,BOS,20,A+,163,87,0.196,0.116,0.115,0.098,0.68,0.288,0.245,0.319,0.361,0.121,4,5,0,5,2,0.289,0.535,0.175,0.289,0.535,0.175,2022-06-03,0.19210007277481836
sa3014547-AA-SEA,Zach DeLoach,SEA,23,AA,186,89,0.296,0.131,0.153,0.129,0.737,0.365,0.256,0.349,0.388,0.079,3,8,2,1,0,0.358,0.425,0.217,0.358,0.425,0.217,2022-06-03,0.20729801478082802
sa3014549-A+-MIL,Zavier Warren,MIL,23,A+,191,87,0.199,0.125,0.095,0.094,0.654,0.271,0.22,0.309,0.345,0.042,2,15,0,6,0,0.369,0.438,0.192,0.369,0.438,0.192,2022-06-03,0.1976807135062401
sa3014679-A-CHC,Kevin Made,CHC,19,A,105,123,0.238,0.12,0.128,0.095,0.784,0.379,0.293,0.371,0.413,0.111,2,5,0,0,0,0.269,0.388,0.343,0.269,0.388,0.343,2022-06-03,0.21211403434326756
sa3014687-A-LAA,Arol Vera,LAA,19,A,208,58,0.245,0.081,0.145,0.091,0.577,0.276,0.211,0.285,0.292,0.048,2,5,2,8,2,0.313,0.575,0.112,0.313,0.575,0.112,2022-06-03,0.1339907241190364
sa3014689-A-LAD,Luis Rodriguez,LAD,19,A,175,117,0.331,0.133,0.203,0.149,0.787,0.41,0.266,0.389,0.399,0.125,4,7,0,1,0,0.376,0.459,0.165,0.376,0.459,0.165,2022-06-03,0.21092349757781245
sa3014692-A-MIL,Hedbert Perez,MIL,19,A,163,74,0.331,0.152,0.217,0.067,0.621,0.29,0.205,0.264,0.358,0.108,4,9,1,6,2,0.402,0.37,0.228,0.402,0.37,0.228,2022-06-03,0.20847419823294988
sa3014707-A-SFG,Aeverson Arteaga,SFG,19,A,192,109,0.307,0.176,0.148,0.073,0.793,0.387,0.278,0.339,0.455,0.111,6,9,2,3,2,0.478,0.257,0.265,0.478,0.257,0.265,2022-06-03,0.26297662107516506
sa3014711-A-TEX,Maximo Acosta,TEX,19,A,167,108,0.216,0.105,0.125,0.108,0.719,0.336,0.259,0.355,0.364,0.023,1,10,1,17,8,0.422,0.382,0.196,0.422,0.382,0.196,2022-06-03,0.1866476792488788
sa3014714-A-TOR,Rikelbin De Castro,TOR,19,A,36,84,0.278,0.094,0.133,0.111,0.618,0.286,0.219,0.306,0.312,0.143,1,0,0,1,2,0.368,0.368,0.263,0.368,0.368,0.263,2022-06-03,0.1474200251970244
sa3014717-A-WSN,Sammy Infante,WSN,21,A,159,137,0.302,0.303,0.136,0.075,0.879,0.294,0.255,0.321,0.559,0.316,12,8,0,6,2,0.418,0.429,0.154,0.418,0.429,0.154,2022-06-03,0.3771798393522857
sa3014816-A+-CHW,Duke Ellis,CHW,24,A+,165,128,0.224,0.122,0.122,0.091,0.83,0.402,0.32,0.388,0.442,0.167,4,6,0,20,1,0.224,0.589,0.187,0.224,0.589,0.187,2022-06-03,0.2253682634653288
sa3014817-A+-SEA,Justin Lavey,SEA,24,A+,120,137,0.25,0.159,0.111,0.1,0.825,0.395,0.299,0.367,0.458,0.1,2,7,2,9,1,0.27,0.392,0.338,0.27,0.392,0.338,2022-06-03,0.26147352675872504
sa3014819-AAA-MIA,Norel Gonzalez,MIA,28,AAA,128,110,0.234,0.237,0.132,0.078,0.803,0.278,0.246,0.32,0.482,0.188,6,7,1,0,1,0.39,0.488,0.122,0.39,0.488,0.122,2022-06-03,0.3193255795726557
sa3014821-A+-TOR,Zach Britton,TOR,23,A+,142,135,0.303,0.168,0.108,0.183,0.786,0.333,0.23,0.387,0.398,0.129,4,7,0,6,1,0.443,0.343,0.214,0.443,0.343,0.214,2022-06-03,0.24196867090760682
sa3014823-A+-HOU,J.C. Correa,HOU,23,A+,162,116,0.093,0.123,0.063,0.086,0.796,0.318,0.308,0.364,0.432,0.091,4,6,0,1,0,0.341,0.488,0.171,0.341,0.488,0.171,2022-06-03,0.24212673174004598
sa3014824-A+-TOR,MacKenzie Mueller,TOR,24,A+,75,64,0.32,0.088,0.124,0.067,0.546,0.279,0.191,0.267,0.279,0.067,1,1,1,0,1,0.366,0.561,0.073,0.366,0.561,0.073,2022-06-03,0.131980942827081
sa3014825-AA-COL,Jack Blomgren,COL,23,AA,20,188,0.25,0.294,0.174,0.1,1.068,0.455,0.353,0.421,0.647,0.167,1,2,0,0,1,0.5,0.25,0.25,0.5,0.25,0.25,2022-06-03,0.4268824558917642
sa3014827-AA-NYY,Elijah Dunham,NYY,24,AA,160,128,0.206,0.25,0.133,0.081,0.852,0.291,0.264,0.338,0.514,0.135,7,8,3,12,2,0.477,0.358,0.165,0.477,0.358,0.165,2022-06-03,0.3442317140751858
sa3014828-AA-OAK,Jake Suddleson,OAK,24,AA,44,81,0.295,0.108,0.187,0.114,0.692,0.333,0.243,0.341,0.351,0.111,1,1,0,0,0,0.36,0.32,0.32,0.36,0.32,0.32,2022-06-03,0.171875705685215
sa3014829-A+-OAK,Patrick McColl,OAK,25,A+,78,62,0.333,0.061,0.112,0.128,0.537,0.293,0.182,0.295,0.242,0.0,0,2,1,0,0,0.2,0.55,0.25,0.2,0.55,0.25,2022-06-03,0.09768810834627134
sa3014831-A-SEA,Brett Rodriguez,SEA,24,A,151,87,0.384,0.087,0.163,0.126,0.662,0.403,0.228,0.347,0.315,0.069,2,5,0,12,3,0.439,0.424,0.136,0.439,0.424,0.136,2022-06-03,0.1400162184401218
sa3014833-A-STL,Matt Chamberlain,STL,23,A,30,125,0.3,0.077,0.171,0.1,0.764,0.471,0.308,0.379,0.385,0.0,0,2,0,1,0,0.235,0.235,0.529,0.235,0.235,0.529,2022-06-03,0.15726886848051563
sa3014833-A+-STL,Matt Chamberlain,STL,23,A+,148,101,0.324,0.083,0.096,0.155,0.661,0.343,0.217,0.361,0.3,0.062,2,4,0,3,4,0.451,0.394,0.155,0.451,0.394,0.155,2022-06-03,0.13614005606081953
sa3014880-A+-SEA,Ty Duvall,SEA,24,A+,4,13,0.25,0.0,0.174,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0.5,0.5,0.0,0.5,0.5,0.0,2022-06-03,0.0
sa3014880-A-SEA,Ty Duvall,SEA,24,A,59,129,0.203,0.075,0.113,0.271,0.758,0.286,0.225,0.458,0.3,0.077,1,0,0,0,0,0.448,0.448,0.103,0.448,0.448,0.103,2022-06-03,0.13568963594576938
