idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
sa3017426-A-OAK,Denzel Clarke,OAK,22,A,153,153,0.288,0.248,0.131,0.124,0.97,0.425,0.31,0.412,0.558,0.194,6,12,1,11,2,0.378,0.378,0.244,2022-06-01
sa3017477-A-PHI,Anthony Quirion,PHI,24,A,110,127,0.327,0.204,0.106,0.091,0.776,0.308,0.226,0.345,0.43,0.172,5,4,0,0,1,0.547,0.302,0.151,2022-06-01
sa3017513-A-MIA,Kahlil Watson,MIA,19,A,173,87,0.422,0.161,0.223,0.052,0.657,0.361,0.224,0.272,0.385,0.3,6,8,0,9,0,0.233,0.442,0.326,2022-06-01
sa3017558-A-WSN,Branden Boissiere,WSN,22,A,141,105,0.227,0.088,0.128,0.184,0.679,0.296,0.221,0.369,0.31,0.043,1,5,1,1,0,0.284,0.568,0.148,2022-06-01
sa3017563-A-WSN,Jacob Young,WSN,22,A,194,94,0.18,0.095,0.078,0.098,0.663,0.299,0.237,0.332,0.331,0.0,0,4,6,18,2,0.197,0.615,0.189,2022-06-01
sa3017604-A-WSN,Jake Sullivan,WSN,24,A,43,53,0.209,0.029,0.063,0.163,0.469,0.2,0.147,0.293,0.176,0.0,0,1,0,0,0,0.333,0.583,0.083,2022-06-01
sa3017627-A-SEA,Harry Ford,SEA,19,A,138,93,0.283,0.082,0.11,0.181,0.66,0.304,0.209,0.37,0.291,0.074,2,3,0,7,1,0.403,0.403,0.194,2022-06-01
sa3017661-A-HOU,Logan Cerny,HOU,22,A,174,94,0.333,0.204,0.134,0.103,0.694,0.27,0.197,0.293,0.401,0.133,6,5,4,12,2,0.489,0.283,0.228,2022-06-01
sa3017662-A-ARI,Jordan Lawlar,ARI,19,A,152,176,0.25,0.248,0.136,0.138,1.061,0.457,0.352,0.461,0.6,0.304,7,4,3,18,3,0.264,0.517,0.218,2022-06-01
sa3017694-A-WSN,Brady House,WSN,19,A,157,118,0.287,0.119,0.147,0.07,0.763,0.389,0.281,0.363,0.4,0.13,3,7,0,1,0,0.261,0.5,0.239,2022-06-01
sa3017725-A-MIL,Ryne Moore,MIL,23,A,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,2022-06-01
sa3017791-A-TBR,Mason Auer,TBR,21,A,174,133,0.161,0.176,0.099,0.098,0.838,0.339,0.294,0.368,0.471,0.058,3,4,7,14,1,0.419,0.444,0.137,2022-06-01
