idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
sa3007943-AA-DET,Parker Meadows,DET,22,AA,114,67,0.237,0.121,0.122,0.088,0.604,0.247,0.202,0.281,0.323,0.062,2,6,0,7,0,0.432,0.284,0.284,2022-06-01
sa3007976-AA-CHC,Levi Jordan,CHC,26,AA,94,203,0.117,0.346,0.095,0.128,1.186,0.371,0.372,0.468,0.718,0.261,6,7,1,1,2,0.343,0.433,0.224,2022-06-01
sa3008029-AA-COL,Kyle Datres,COL,26,AA,108,101,0.25,0.144,0.135,0.12,0.709,0.267,0.222,0.343,0.367,0.222,4,1,0,10,0,0.286,0.603,0.111,2022-06-01
sa3008051-AA-NYY,Josh Breaux,NYY,24,AA,126,113,0.278,0.292,0.206,0.095,0.798,0.217,0.212,0.294,0.504,0.214,9,6,0,0,0,0.545,0.377,0.078,2022-06-01
sa3008079-AA-NYM,Carlos Cortes,NYM,25,AA,30,141,0.367,0.222,0.132,0.1,0.885,0.467,0.296,0.367,0.519,0.1,1,3,0,0,0,0.625,0.188,0.188,2022-06-01
sa3008107-AA-HOU,Cesar Salazar,HOU,26,AA,93,85,0.226,0.169,0.125,0.043,0.758,0.317,0.277,0.312,0.446,0.111,3,5,0,1,0,0.409,0.303,0.288,2022-06-01
sa3008113-AA-STL,Malcom Nunez,STL,21,AA,156,76,0.186,0.126,0.108,0.179,0.655,0.221,0.189,0.34,0.315,0.115,3,7,0,1,0,0.265,0.5,0.235,2022-06-01
sa3008182-AA-CIN,Mike Siani,CIN,22,AA,189,93,0.148,0.146,0.073,0.106,0.731,0.276,0.25,0.335,0.396,0.077,4,8,2,15,5,0.38,0.482,0.139,2022-06-01
sa3008184-AA-CHC,Cole Roederer,CHC,22,AA,4,-100,0.25,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.333,0.667,0.0,2022-06-01
sa3008239-AA-COL,Ezequiel Tovar,COL,20,AA,196,172,0.209,0.267,0.14,0.102,1.001,0.38,0.326,0.408,0.593,0.213,10,10,3,16,1,0.367,0.391,0.242,2022-06-01
sa3008280-AA-MIN,Michael Helman,MIN,26,AA,166,113,0.193,0.194,0.084,0.127,0.84,0.318,0.278,0.367,0.472,0.154,6,6,2,10,0,0.348,0.42,0.232,2022-06-01
sa3008365-AA-TBR,Ronny Simon,TBR,22,AA,17,190,0.235,0.286,0.127,0.176,1.113,0.444,0.357,0.471,0.643,0.25,1,1,0,2,1,0.4,0.4,0.2,2022-06-01
sa3008391-AA-OAK,JJ Schwarz,OAK,26,AA,22,129,0.136,0.158,0.101,0.136,0.883,0.333,0.316,0.409,0.474,0.167,1,0,0,0,0,0.375,0.438,0.188,2022-06-01
sa3008392-AA-TBR,Curtis Mead,TBR,21,AA,150,131,0.147,0.206,0.105,0.107,0.879,0.314,0.286,0.387,0.492,0.118,4,14,0,2,2,0.33,0.447,0.223,2022-06-01
sa3008602-AA-MIA,Victor Victor Mesa,MIA,25,AA,138,29,0.159,0.041,0.098,0.058,0.477,0.212,0.182,0.254,0.223,0.031,1,2,0,12,0,0.337,0.495,0.168,2022-06-01
sa3009866-AA-TBR,Evan Edwards,TBR,25,AA,86,85,0.453,0.197,0.144,0.151,0.708,0.333,0.197,0.314,0.394,0.25,4,2,0,1,0,0.471,0.294,0.235,2022-06-01
sa3009869-AA-TBR,Austin Shenton,TBR,24,AA,146,97,0.308,0.167,0.154,0.158,0.733,0.306,0.217,0.349,0.383,0.111,4,6,1,0,0,0.48,0.373,0.147,2022-06-01
sa3009872-AA-CIN,Quin Cotton,CIN,24,AA,87,104,0.356,0.192,0.213,0.08,0.782,0.386,0.256,0.333,0.449,0.214,3,6,0,4,2,0.298,0.426,0.277,2022-06-01
sa3009879-AA-TOR,Will Robertson,TOR,24,AA,134,108,0.336,0.217,0.162,0.075,0.763,0.319,0.233,0.313,0.45,0.182,6,8,0,1,4,0.446,0.351,0.203,2022-06-01
sa3009884-AA-COL,Isaac Collins,COL,24,AA,169,73,0.201,0.058,0.098,0.124,0.588,0.264,0.201,0.329,0.259,0.0,0,8,0,14,3,0.379,0.417,0.204,2022-06-01
sa3009891-AA-SEA,Patrick Frick,SEA,25,AA,118,48,0.203,0.02,0.081,0.11,0.54,0.275,0.216,0.305,0.235,0.0,0,2,0,0,0,0.218,0.5,0.282,2022-06-01
sa3009896-AA-SEA,Trent Tingelstad,SEA,24,AA,14,152,0.214,0.1,0.074,0.286,0.9,0.429,0.3,0.5,0.4,0.0,0,1,0,0,0,0.143,0.429,0.429,2022-06-01
sa3010009-AA-WSN,Jake Alu,WSN,25,AA,178,102,0.202,0.15,0.096,0.084,0.732,0.306,0.256,0.326,0.406,0.103,4,12,0,8,1,0.317,0.415,0.268,2022-06-01
sa3010030-AA-CLE,Julian Escobedo,CLE,24,AA,171,80,0.181,0.137,0.112,0.076,0.649,0.246,0.212,0.299,0.349,0.068,3,9,1,3,3,0.379,0.44,0.181,2022-06-01
sa3010035-AA-LAD,Brandon Lewis,LAD,23,AA,112,29,0.339,0.087,0.218,0.062,0.51,0.266,0.183,0.241,0.269,0.083,2,3,0,0,0,0.375,0.469,0.156,2022-06-01
