Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Francisco Laya","TEX","DSL",18,33,87,115,17,13,4,0,0,14,9,24,0,21,3,1,1,3,6,5,0.1954023,115,0.20869565,0.1826087,1.14285714,0.1954023,0.3826087,0.24137931,0.62398801,0.04597701,4.120207586234255,0.25373134,-1.327633870067075,15.527993394015066,-0.9272514749786924,0.34619768546975177,94.3650095616268,0.25373134,1.03846154,0.15873016,0.42857143,0.41269841,0.42307692,0,0.52307692,0.21538462,0.26153846,0.23175966,108,125,233,"sa3016335"
"David Leon","CLE","DSL",18,20,57,73,13,9,3,1,0,11,6,15,0,14,1,0,0,0,1,0,0.22807018,73,0.20547945,0.19178082,1.07142857,0.22807018,0.39726027,0.31578947,0.71304974,0.08771929,6.745240491240714,0.30232558,0.21116880673798732,11.576321949285505,1.130818684619902,0.37518149614334106,110.82588991614377,0.30232558,2.875,0.18421053,0.60526316,0.21052632,0.125,0,0.33333333,0.28205128,0.38461538,0.20930233,54,75,129,"sa3016336"
"Yohenny Mata","NYM","DSL",18,35,96,109,23,19,4,0,0,13,12,9,0,10,3,1,1,1,2,2,0.23958333,109,0.08256881,0.09174312,0.9,0.23958333,0.32110092,0.28125,0.60235092,0.04166667,3.6777832256754075,0.26436782,-0.6043522669642698,11.517802772202286,-4.078907581887451,0.31007133656685504,73.84764165465259,0.26436782,1.31034483,0.1625,0.475,0.3625,0.27586207,0,0.34939759,0.14457831,0.5060241,0.14666667,43,107,150,"sa3016338"
"Francisco Ulloa","KCR","DSL",18,33,77,106,10,10,0,0,0,12,6,22,0,25,5,1,1,4,7,2,0.12987013,106,0.20754717,0.23584906,0.88,0.12987013,0.35238095,0.12987013,0.48225108,0,5.290741080990488,0.18867925,0.3983282608387526,10.328390367820006,-4.839052728817719,0.2999436554454622,68.09579111003603,0.18867925,1.15789474,0.10869565,0.47826087,0.41304348,0.42105263,0,0.52083333,0.22916667,0.25,0.24489796,91,105,196,"sa3016340"
"Luis Bolivar","SEA","DSL",18,41,126,149,20,16,3,1,0,15,7,17,0,60,4,1,1,2,5,3,0.15873016,149,0.11409396,0.40268456,0.28333333,0.15873016,0.27702703,0.1984127,0.47543973,0.03968254,6.366917065948043,0.29850746,-0.5107725399138872,9.584674314436587,-11.735599472346632,0.25919926327628057,44.95568119945195,0.29850746,0.95833333,0.24193548,0.37096774,0.38709677,0.5,0,0.51470588,0.20588235,0.27941176,0.43573668,77,242,319,"sa3016341"
"Manuel Guariman","CHW","CPX",18,18,50,55,8,6,2,0,0,2,5,3,0,12,1,1,1,1,1,0,0.16,55,0.05454545,0.21818182,0.25,0.16,0.21818182,0.2,0.41818182,0.04,3.585088520959439,0.20512821,0.17026134114712477,1.6076918515636573,-5.956923606686389,0.2069599238308993,21.252790183938465,0.20512821,1.35714286,0.13157895,0.5,0.36842105,0.35714286,0,0.46153846,0.17948718,0.35897436,0.34090909,13,75,88,"sa3016342"
"Yeison Vargas","KCR","DSL",18,23,57,67,12,9,0,2,1,10,5,7,0,17,2,1,1,0,1,3,0.21052632,67,0.10447761,0.25373134,0.41176471,0.21052632,0.31343284,0.33333333,0.64676617,0.12280701,6.785714285714286,0.275,-1.31926084269071,7.710532036911758,-1.8764367128498236,0.32165644773796426,80.42721571511862,0.275,1.28571429,0.15789474,0.47368421,0.36842105,0.14285714,0.07142857,0.3902439,0.29268293,0.31707317,0.3852459,31,91,122,"sa3016343"
"Yeison Vargas","KCR","DSL",18,11,34,41,7,3,3,0,1,7,5,6,0,13,0,0,0,1,0,1,0.20588235,41,0.14634146,0.31707317,0.46153846,0.20588235,0.325,0.38235294,0.70735294,0.17647059,3.690476189880952,0.3,-0.5050800254393835,5.559950631607599,-0.30670188690322037,0.3469145029783249,94.77211432012557,0.3,2.6,0.14285714,0.61904762,0.23809524,0,0.2,0.23809524,0.19047619,0.57142857,0.37234043,33,61,94,"sa3016343"
"Randy Perea","DET","DSL",18,33,62,76,19,17,1,1,0,19,9,12,0,19,1,1,1,0,5,2,0.30645161,76,0.15789474,0.25,0.63157895,0.30645161,0.42105263,0.35483871,0.77589134,0.0483871,8.165475960091134,0.43181818,-0.004799010173883289,13.406740277183284,2.53196975506567,0.3971155419161445,123.28297180998928,0.43181818,2.3,0.08333333,0.63888889,0.27777778,0.4,0,0.43243243,0.16216216,0.40540541,0.32666667,56,94,150,"sa3016344"
"Junior Marino","MIN","DSL",17,29,62,76,16,12,4,0,0,12,7,7,0,10,3,3,3,1,3,2,0.25806452,76,0.09210526,0.13157895,0.7,0.25806452,0.34666667,0.32258065,0.66924732,0.06451613,5.202998871798325,0.29090909,-0.4083730333368294,9.717202368391874,-1.1575681537257405,0.33737704356511433,89.35547052352577,0.29090909,0.68,0.22222222,0.31481481,0.46296296,0.24,0,0.38181818,0.23636364,0.38181818,0.18699187,37,86,123,"sa3016345"
"Carlos Linarez","STL","A",20,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0.33333333,0,0,0,0,0,0,0.142857142857143,0,0,-0.3837743842888137,-0.7340450877237579,0,-100,0,1,0,0.5,0.5,1,0,0,0.5,0.5,0.2,5,10,15,"sa3016346"
"Carlos Linarez","STL","CPX",20,29,98,103,24,18,5,0,1,11,10,4,0,22,1,0,0,4,4,2,0.24489796,103,0.03883495,0.21359223,0.18181818,0.24489796,0.2815534,0.32653061,0.60808401,0.08163265,4.68962359286017,0.30666667,-0.1594731773948297,9.647843127730011,-4.130524063823105,0.2924658945463236,70.02167233316776,0.30666667,2.22222222,0.21621622,0.54054054,0.24324324,0.11111111,0.05555556,0.51315789,0.18421053,0.30263158,0.30246914,22,140,162,"sa3016346"
"Felix Cabrera","LAD","DSL",20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,-100,0,,,,,,,,,,,,,,"sa3016496"
"Kenny Baez","BAL","DSL",19,23,59,74,12,11,1,0,0,9,11,13,0,17,1,0,0,2,0,1,0.20338983,74,0.17567568,0.22972973,0.76470588,0.20338983,0.35616438,0.22033898,0.57650336,0.01694915,2.3540147985676367,0.28571429,-0.4979319910344202,8.425830522046583,-2.1627618284363574,0.32015519681042187,79.57460484973987,0.28571429,1.14285714,0.23076923,0.41025641,0.35897436,0.07142857,0,0.52380952,0.16666667,0.30952381,0.25899281,50,89,139,"sa3016530"
"Kenny Baez","BAL","DSL",19,1,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0.33333333,0,0,0.33333333,0,0.33333333,0,0.142857142857143,0,0.00044675215031020343,0.23251575137626718,-0.19675150607574393,0.2754160364468892,54.16573179990573,0,1,0,1,0,0,0,1,0,0,0,1,4,5,"sa3016530"
"Gregory Duran","MIN","CPX",19,37,105,130,21,12,6,1,2,15,10,23,1,45,2,0,0,2,2,3,0.2,130,0.17692308,0.34615385,0.51111111,0.2,0.35384615,0.33333333,0.68717948,0.13333333,4.692645008699381,0.32758621,-1.0402888343669474,17.292372289432027,-0.09779989408161496,0.3422005139580069,99.43761399801245,0.32758621,1.45,0.14035088,0.50877193,0.35087719,0.2,0.1,0.46666667,0.25,0.28333333,0.31649832,103,194,297,"sa3016533"
"Rafael Fermin","SDP","AA",20,2,5,6,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.2,6,0,0,0,0.2,0.33333333,0.2,0.53333333,0,2.642857142857143,0.2,-0.010973974131047726,0.4919972426291419,-0.3519476645592736,0.28289621074994403,58.297317566406115,0.2,1,0.2,0.4,0.4,1,0,0.4,0.2,0.4,0.1875,4,12,16,"sa3016538"
"German Guilarte","SEA","DSL",19,22,49,61,9,8,1,0,0,5,4,6,0,17,5,0,0,2,0,1,0.18367347,61,0.09836066,0.27868852,0.35294118,0.18367347,0.33333333,0.20408163,0.53741496,0.02040816,2.412837745038002,0.28125,-0.5006125039362814,6.069819732348708,-2.658614502508852,0.30248791674772896,69.54076262737358,0.28125,0.6,0.11111111,0.33333333,0.55555556,0.33333333,0,0.53333333,0.23333333,0.23333333,0.31481481,31,77,108,"sa3016539"
"Oswaldo Ladera","SFG","DSL",19,43,135,163,28,15,10,0,3,25,23,17,0,56,11,0,0,0,8,3,0.20740741,163,0.10429448,0.34355828,0.30357143,0.20740741,0.34355828,0.34814815,0.69170643,0.14074074,6.010160898668886,0.32894737,0.09190798192867078,22.6312888234507,-0.692232164775238,0.35089371504227806,97.03204261001292,0.32894737,0.84848485,0.17567568,0.37837838,0.44594595,0.21212121,0.09090909,0.60759494,0.18987342,0.20253165,0.43843844,90,243,333,"sa3016540"
"Jose Ramos","SFG","DSL",19,44,134,163,35,22,9,1,3,26,19,25,0,25,2,1,1,3,18,1,0.26119403,163,0.15337423,0.15337423,1,0.26119403,0.38271605,0.41044776,0.79316381,0.14925373,7.9176825168664955,0.29906542,3.112790114217205,27.957828629646645,4.634307641420707,0.3911055127779643,119.86967423898038,0.29906542,1.1025641,0.18811881,0.42574257,0.38613861,0.38461538,0.07692308,0.59223301,0.15533981,0.25242718,0.2,114,171,285,"sa3016541"
"Erick Barria","PHI","DSL",19,24,41,51,10,9,1,0,0,8,6,7,0,11,2,1,1,0,3,1,0.24390244,51,0.1372549,0.21568627,0.63636364,0.24390244,0.37254902,0.26829268,0.6408417,0.02439024,5.643784148140914,0.32258065,0.09894075285410509,6.720669890727947,-0.5768734859562411,0.34220065790064197,92.09496324750373,0.32258065,1.4,0.2,0.46666667,0.33333333,0.2,0,0.5483871,0.06451613,0.38709677,0.25742574,37,64,101,"sa3016542"
"Estanlin Cassiani","SFG","DSL",19,43,151,169,61,57,2,2,0,37,8,13,2,19,1,1,1,1,15,7,0.40397351,169,0.07692308,0.11242604,0.68421053,0.40397351,0.45180723,0.44370861,0.89551584,0.0397351,7.55712872878344,0.45864662,-0.5328796204703394,35.465062355560576,11.28300685243062,0.4382746150580848,146.65859298424908,0.45864662,4.35294118,0.22881356,0.62711864,0.1440678,0.35294118,0,0.34645669,0.26771654,0.38582677,0.19767442,74,184,258,"sa3016543"
"Osmany Fleitas","NYY","CPX",20,7,10,12,4,3,1,0,0,3,1,2,0,3,0,0,0,0,1,0,0.4,12,0.16666667,0.25,0.66666667,0.4,0.5,0.5,1,0.1,6.59719141249985,0.57142857,0.1964031484676525,2.9256367057535986,1.3203900426600317,0.4822223385175069,182.25465113974624,0.57142857,2,0,1,0,0,0,1,0,0,0,8,5,13,"sa3016544"
"Juan Machado","PIT","DSL",19,23,58,78,19,18,0,1,0,21,8,17,0,17,2,1,1,0,13,2,0.32758621,78,0.21794872,0.21794872,1,0.32758621,0.48717949,0.36206897,0.84924846,0.03448276,9.546094076955773,0.45238095,1.598328278720146,16.71782447469032,5.556875780938031,0.44378576676050824,149.78856129003333,0.45238095,2.77777778,0.19047619,0.5952381,0.21428571,0.11111111,0,0.38095238,0.30952381,0.30952381,0.22543353,80,93,173,"sa3016545"
"Jake Perez","SDP","CPX",21,22,53,63,11,9,1,1,0,9,8,8,0,26,1,1,1,2,2,1,0.20754717,63,0.12698413,0.41269841,0.30769231,0.20754717,0.31746032,0.26415094,0.58161126,0.05660377,7.434889319997905,0.39285714,-0.1377175161615014,6.199751332391696,-2.4651718288765383,0.2912954385318453,71.54998627228767,0.39285714,1.4,0.14285714,0.5,0.35714286,0,0,0.35714286,0.25,0.39285714,0.34027778,35,109,144,"sa3016546"
"Brandy Rosario","SFG","DSL",18,24,50,59,7,3,4,0,0,2,5,6,0,21,2,1,1,0,0,1,0.14,59,0.10169492,0.3559322,0.28571429,0.14,0.25423729,0.22,0.47423729,0.08,1.5270146273809524,0.23333333,-0.504186521138763,3.3993697172310817,-5.042886345991803,0.2509420443389375,40.26612900359422,0.23333333,1.1,0.19230769,0.42307692,0.38461538,0.1,0,0.66666667,0.18518519,0.14814815,0.45217391,28,87,115,"sa3016547"
"Jose Astudillo","SFG","DSL",18,3,10,12,1,0,0,1,0,4,0,1,0,2,0,0,0,0,2,0,0.1,12,0.08333333,0.16666667,0.5,0.1,0.18181818,0.3,0.48181818,0.2,10,0.125,0.4004467581107747,0.44560583329639564,-1.2714631965116487,0.22573735497214578,25.95153867204809,0.125,0.66666667,0.16666667,0.33333333,0.5,0,0,0.375,0.125,0.5,0.28571429,6,15,21,"sa3016548"
"Diego Gonzalez","SFG","DSL",18,15,44,55,7,4,1,2,0,6,7,8,0,12,2,1,1,0,2,0,0.15909091,55,0.14545455,0.21818182,0.66666667,0.15909091,0.30909091,0.27272727,0.58181818,0.11363636,8.139023277513182,0.21212121,0.4062545360648073,5.51751962815039,-2.352380091803146,0.3034887118773027,70.10914782257181,0.21212121,2,0.0625,0.625,0.3125,0.3,0,0.45454545,0.24242424,0.3030303,0.23364486,38,69,107,"sa3016549"
"John Zorrilla","PIT","DSL",18,34,89,116,11,5,3,0,3,13,12,25,0,55,2,0,0,0,3,0,0.12359551,116,0.21551724,0.47413793,0.45454545,0.12359551,0.32758621,0.25842697,0.58601318,0.13483146,4.510115994783838,0.25806452,0.6142960777506232,12.911822170191018,-3.6865117846200786,0.3170126882092706,77.78986858165047,0.25806452,0.52941176,0.1875,0.28125,0.53125,0.23529412,0.17647059,0.55882353,0.23529412,0.20588235,0.4031746,116,199,315,"sa3016550"
"Jensy De Leon","DET","DSL",18,36,100,115,17,10,6,0,1,10,10,7,0,27,8,0,0,4,3,2,0.17,115,0.06086957,0.23478261,0.25925926,0.17,0.27826087,0.26,0.53826087,0.09,4.576190930777609,0.22222222,-0.4070327768858988,9.383527390455084,-7.071717478538675,0.2804497345634129,57.024538164948545,0.22222222,1.12,0.18461538,0.43076923,0.38461538,0.44,0.04,0.7,0.14285714,0.15714286,0.37878788,50,148,198,"sa3016551"
"Edgardo Ordonez","MIL","DSL",18,31,86,106,25,19,4,0,2,16,13,18,0,27,1,1,1,0,1,0,0.29069767,106,0.16981132,0.25471698,0.66666667,0.29069767,0.41509434,0.40697674,0.82207108,0.11627907,3.516553795379342,0.39655172,0.21697658469201997,19.81069936676241,4.643256270124683,0.41002257421331584,130.61330931351236,0.39655172,0.83333333,0.18518519,0.37037037,0.44444444,0.25,0.08333333,0.57142857,0.23214286,0.19642857,0.30917874,73,134,207,"sa3016553"
"Hector Pinero","TEX","DSL",19,8,18,22,3,3,0,0,0,3,1,3,0,11,1,0,0,0,1,0,0.16666667,22,0.13636364,0.5,0.27272727,0.16666667,0.31818182,0.16666667,0.48484849,0,6.3744751869527585,0.42857143,0.20312726803240366,1.7962981526031812,-1.3516617353782336,0.2805162153460763,57.062294836133766,0.42857143,1.5,0.16666667,0.5,0.33333333,0,0,0.16666667,0.66666667,0.16666667,0.50980392,15,36,51,"sa3016554"
"Ismael Perez","MIN","CPX",18,31,82,97,15,8,5,2,0,13,13,14,0,25,0,1,1,1,2,1,0.18292683,97,0.1443299,0.25773196,0.56,0.18292683,0.29896907,0.29268293,0.591652,0.1097561,7.002822514389656,0.25862069,-0.0872899831738323,9.28745322757584,-3.6882906324304914,0.29509300423651624,71.5754975420061,0.25862069,2.11764706,0.0862069,0.62068966,0.29310345,0.29411765,0,0.58333333,0.16666667,0.25,0.23834197,59,134,193,"sa3016555"
"Angel Parra","KCR","DSL",18,12,41,46,5,3,1,0,1,5,2,5,0,15,0,0,0,1,2,0,0.12195122,46,0.10869565,0.32608696,0.33333333,0.12195122,0.2173913,0.2195122,0.4369035,0.09756098,6.334024209519413,0.16,0.4035740231629461,1.6971167869857844,-4.884981160611719,0.2254420544790185,25.78382759565649,0.16,0.91666667,0.11538462,0.42307692,0.46153846,0.33333333,0.08333333,0.46153846,0.23076923,0.30769231,0.37113402,26,71,97,"sa3016556"
"Angel Parra","KCR","DSL",18,21,71,81,21,15,5,0,1,5,9,7,0,10,3,0,0,1,6,2,0.29577465,81,0.08641975,0.12345679,0.7,0.29577465,0.38271605,0.4084507,0.79116675,0.11267605,4.034790805957993,0.33333333,0.19296723205479793,13.906679481143978,2.316463529939679,0.39131098838500034,119.98637074315238,0.33333333,0.80769231,0.16071429,0.375,0.46428571,0.23076923,0.03846154,0.5,0.17857143,0.32142857,0.23893805,27,86,113,"sa3016556"
"Manuel Guance","NYM","DSL",18,9,25,35,7,7,0,0,0,6,4,8,0,10,1,1,1,1,5,1,0.28,35,0.22857143,0.28571429,0.8,0.28,0.45714286,0.28,0.73714286,0,6.171481077538621,0.4375,0.49804725451394916,6.332305760242238,1.3241877566354416,0.4026757938521249,126.44082578888468,0.4375,1,0.27272727,0.36363636,0.36363636,0,0,0.76923077,0.15384615,0.07692308,0.25641026,35,43,78,"sa3016557"
"Manuel Guance","NYM","DSL",18,19,57,66,18,13,3,0,2,8,8,8,0,19,1,0,0,1,7,0,0.31578947,66,0.12121212,0.28787879,0.42105263,0.31578947,0.40909091,0.47368421,0.88277512,0.15789474,5.4994652460748235,0.44444444,1.4098285681684501,13.288501646827886,3.8446219828836403,0.4278008621750456,140.71019665320398,0.44444444,2.1,0.16216216,0.56756757,0.27027027,0.1,0.2,0.71052632,0.13157895,0.15789474,0.24087591,42,95,137,"sa3016557"
"Arquedion Muller","PHI","DSL",18,24,55,67,11,6,2,1,2,17,12,9,0,23,2,1,1,1,6,1,0.2,67,0.13432836,0.34328358,0.39130435,0.2,0.32835821,0.38181818,0.71017639,0.18181818,9.51021494246808,0.29032258,0.6984940096444916,9.119933053446283,-0.4670356963152984,0.3475418962649445,95.12843205703666,0.29032258,0.66666667,0.19354839,0.32258065,0.48387097,0.06666667,0.13333333,0.40625,0.40625,0.1875,0.38848921,42,97,139,"sa3016559"
"Angel Santana","KCR","DSL",19,37,105,125,27,22,5,0,0,13,12,15,0,23,4,1,1,3,5,3,0.25714286,125,0.12,0.184,0.65217391,0.25714286,0.368,0.3047619,0.6727619,0.04761904,3.943772648961909,0.3253012,-0.5089855313126463,17.23277749261941,-0.653358234547721,0.3496877326965332,96.34712469750892,0.3253012,1.5,0.16666667,0.5,0.33333333,0.30769231,0,0.575,0.2,0.225,0.275,60,140,200,"sa3016560"
"Edinson Duran","NYY","DSL",19,24,70,84,22,11,5,1,5,14,24,9,0,15,4,1,1,1,1,1,0.31428571,84,0.10714286,0.17857143,0.6,0.31428571,0.41666667,0.62857143,1.0452381,0.31428572,5.300396776345901,0.33333333,-0.29837874020449817,20.35534744803502,8.335864239378708,0.4782341108435676,169.352933854721,0.33333333,0.53846154,0.25925926,0.25925926,0.48148148,0.30769231,0.19230769,0.60714286,0.10714286,0.28571429,0.23809524,44,103,147,"sa3016561"
"Yeiver Torrealba","SFG","CPX",20,11,22,25,3,3,0,0,0,3,0,2,0,9,1,0,0,0,2,0,0.13636364,25,0.08,0.36,0.22222222,0.13636364,0.24,0.13636364,0.37636364,0,7.258769757263128,0.23076923,0.3821568088606,0.7126772029296614,-2.7257843690021777,0.20607768774032592,20.7266298610764,0.23076923,1.75,0.08333333,0.58333333,0.33333333,0,0,0.30769231,0.30769231,0.38461538,0.30612245,9,40,49,"sa3016626"
"Moises Alcala","ARI","DSL",19,9,23,29,7,6,0,0,1,4,5,6,0,5,0,0,0,1,0,1,0.30434783,29,0.20689655,0.17241379,1.2,0.30434783,0.44827586,0.43478261,0.88305847,0.13043478,1.9684826214909377,0.35294118,-0.5037397689884529,6.133772551220635,1.9841890625178609,0.4403135694306472,147.81658371062562,0.35294118,1.14285714,0.11764706,0.47058824,0.41176471,0.14285714,0.14285714,0.5,0.22222222,0.27777778,0.25423729,26,33,59,"sa3016628"
"Moises Alcala","ARI","DSL",19,19,58,64,16,11,2,0,3,9,6,5,0,15,1,0,0,1,1,1,0.27586207,64,0.078125,0.234375,0.33333333,0.27586207,0.34375,0.46551724,0.80926724,0.18965517,3.123936612642615,0.325,-0.3015060052566696,10.626818293416896,1.4691168011073263,0.3843665989115834,116.04241852981403,0.325,1.11764706,0.1627907,0.44186047,0.39534884,0.23529412,0.17647059,0.39534884,0.1627907,0.44186047,0.31896552,28,88,116,"sa3016628"
"Renny Flores","BOS","DSL",19,12,31,43,6,5,1,0,0,8,5,11,0,12,1,0,0,1,0,1,0.19354839,43,0.25581395,0.27906977,0.91666667,0.19354839,0.41860465,0.22580645,0.6444111,0.03225806,3.209033642857143,0.31578947,-0.5015060082369018,6.599713462591994,0.44688277244650176,0.36890814609305805,107.263043547781,0.31578947,4,0.16666667,0.66666667,0.16666667,0.66666667,0,0.72222222,0.05555556,0.22222222,0.31,46,54,100,"sa3016630"
"Jhon Garcia","BOS","DSL",19,14,41,46,11,7,4,0,0,4,4,4,0,15,1,0,0,1,0,0,0.26829268,46,0.08695652,0.32608696,0.26666667,0.26829268,0.34782609,0.36585366,0.71367975,0.09756098,1.184523830357143,0.42307692,0.005361025803722441,6.542875362264191,-0.039222585333313104,0.3550703642160996,99.40410207132165,0.42307692,0.5,0.25,0.25,0.5,0.4,0,0.65,0.2,0.15,0.43678161,22,65,87,"sa3016632"
"Jose Mendez","BOS","DSL",19,42,112,134,31,20,9,1,1,16,17,21,0,28,0,1,1,3,5,3,0.27678571,134,0.15671642,0.20895522,0.75,0.27678571,0.3880597,0.40178571,0.78984541,0.125,5.2552760861617855,0.35714286,-0.5089855313126463,22.97262811989675,3.7986906203735873,0.39100350372826875,119.81173987068674,0.35714286,1.19354839,0.16049383,0.45679012,0.38271605,0.41935484,0.03225806,0.54216867,0.21686747,0.24096386,0.256,92,158,250,"sa3016633"
"Mendy Ferreira","MIL","DSL",19,28,70,78,16,11,4,0,1,14,12,5,0,21,0,3,3,1,9,3,0.22857143,78,0.06410256,0.26923077,0.23809524,0.22857143,0.26923077,0.32857143,0.5978022,0.1,6.6367157242350565,0.29411765,0.2798456768505275,6.731101656371308,-4.429847037380981,0.28623362535085434,60.30940416507125,0.29411765,1.05263158,0.23529412,0.39215686,0.37254902,0.26315789,0.05263158,0.63461538,0.26923077,0.09615385,0.42957746,27,115,142,"sa3016635"
"Eybert Escalona","PIT","DSL",19,15,28,39,10,6,2,0,2,6,10,8,0,7,3,0,0,1,0,0,0.35714286,39,0.20512821,0.17948718,1.14285714,0.35714286,0.53846154,0.64285714,1.18131868,0.28571428,1.080357142857143,0.42105263,0.007594786555273458,11.870214223429569,6.289739876553423,0.5545754937025217,212.709771348995,0.42105263,1.25,0.14285714,0.47619048,0.38095238,0.125,0.25,0.38095238,0.19047619,0.42857143,0.25316456,37,42,79,"sa3016636"
"Eybert Escalona","PIT","DSL",19,4,10,12,4,4,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0.4,12,0.16666667,0.16666667,1,0.4,0.5,0.4,0.9,0,2.642857142857143,0.5,0.0026805129018612206,2.74296551130743,1.0258964814993856,0.4613202015558879,159.74695621958037,0.5,3,0,0.75,0.25,0,0,0.375,0.25,0.375,0.25,10,14,24,"sa3016636"
"Albertson Asigen","BOS","DSL",20,49,172,204,53,47,3,3,0,32,23,28,1,34,1,3,3,2,13,1,0.30813953,204,0.1372549,0.16666667,0.82352941,0.30813953,0.40196078,0.36046512,0.7624259,0.05232559,7.916778589008921,0.37588652,2.124405655224109,33.676327698025986,4.486154191289234,0.3831803601950847,115.36871368802888,0.37588652,1.8,0.24031008,0.48837209,0.27131783,0.17142857,0,0.38636364,0.24242424,0.37121212,0.21787709,129,229,358,"sa3016639"
"Robert Lopez","CLE","CPX",18,22,75,87,15,12,3,0,0,6,8,10,0,24,2,0,0,1,1,1,0.2,87,0.11494253,0.27586207,0.41666667,0.2,0.31034483,0.24,0.55034483,0.04,2.3315940522626626,0.29411765,-0.35556071624159813,7.860625883896307,-4.105220386426492,0.2814734064299485,65.69218512686318,0.29411765,1.4,0.26530612,0.42857143,0.30612245,0.13333333,0,0.51020408,0.28571429,0.20408163,0.29341317,45,122,167,"sa3016641"
"Wally Soto","CHC","CPX",19,7,8,10,1,1,0,0,0,0,1,2,0,5,0,0,0,1,0,0,0.125,10,0.2,0.5,0.4,0.125,0.3,0.125,0.425,0,0.142857142857143,0.33333333,-0.008921598549932241,0.6176698179866191,-0.7577148107861165,0.2466251254081726,44.908878946667436,0.33333333,2,0,0.66666667,0.33333333,0,0,0.33333333,0.33333333,0.33333333,0.44444444,9,18,27,"sa3016642"
"Wally Soto","CHC","A",19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,-100,0,,,,,,,,,,,,,,"sa3016642"
"Edward De La Cruz","WSN","DSL",19,34,83,99,10,9,1,0,0,10,1,13,0,41,3,0,0,1,2,1,0.12048193,99,0.13131313,0.41414141,0.31707317,0.12048193,0.26262626,0.13253012,0.39515638,0.01204819,4.413635452864945,0.23809524,-0.09793198507395573,4.247859354974067,-9.9179601409423,0.23284231231670188,29.986682776796737,0.23809524,1.06666667,0.11428571,0.45714286,0.42857143,0.33333333,0,0.63157895,0.13157895,0.23684211,0.45539906,64,149,213,"sa3016643"
"Javier Castillo","SFG","DSL",18,32,108,119,26,18,3,3,2,14,16,10,0,19,1,0,0,4,1,2,0.24074074,119,0.08403361,0.15966387,0.52631579,0.24074074,0.31092437,0.37962963,0.690554,0.13888889,5.249906786199181,0.27586207,-0.8052457742451224,14.948485590131229,-2.079115622131879,0.33462014068074586,87.78973270389655,0.27586207,1.68,0.18292683,0.51219512,0.30487805,0.08,0.08,0.41573034,0.24719101,0.33707865,0.25380711,51,146,197,"sa3016644"
"Elio Campos","LAD","DSL",18,14,37,42,13,11,2,0,0,12,6,5,0,1,0,0,0,0,3,0,0.35135135,42,0.11904762,0.02380952,5,0.35135135,0.42857143,0.40540541,0.83397684,0.05405406,6.546473935329354,0.36111111,0.60714804334566,8.106025390402914,2.0962837860747596,0.41753774881362915,134.8814295870065,0.36111111,1.7,0.18181818,0.51515152,0.3030303,0.4,0,0.38888889,0.11111111,0.5,0.046875,25,39,64,"sa3016645"
"Heber Villalobos","SDP","DSL",18,9,19,25,3,2,1,0,0,6,2,5,0,3,1,0,0,0,0,0,0.15789474,25,0.2,0.12,1.66666667,0.15789474,0.36,0.21052632,0.57052632,0.05263158,2.642857142857143,0.1875,0.0035740172024816275,2.9502652217872476,-0.6269619236461785,0.32525952100753786,82.47352214000337,0.1875,0.55555556,0.06666667,0.33333333,0.6,0.33333333,0,0.64705882,0.17647059,0.17647059,0.16,25,25,50,"sa3016646"
"Yevganni Reinita","BOS","DSL",19,20,30,43,5,4,1,0,0,4,4,11,0,7,1,0,0,0,1,1,0.16666667,43,0.25581395,0.1627907,1.57142857,0.16666667,0.4047619,0.2,0.6047619,0.03333333,2.6699824021521383,0.2173913,-0.3019527574069798,6.086111479102928,-0.06671921104256526,0.3542102844942184,98.91563388621397,0.2173913,0.85714286,0.23529412,0.35294118,0.41176471,0.42857143,0,0.3,0.2,0.5,0.2375,39,41,80,"sa3016648"
"Elian Lozano","TEX","DSL",19,10,29,41,4,4,0,0,0,4,2,10,0,12,2,0,0,0,2,0,0.13793103,41,0.24390244,0.29268293,0.83333333,0.13793103,0.3902439,0.13793103,0.52817493,0,4.959141583882573,0.23529412,0.40714804036542773,5.014434547941223,-0.8522179705695959,0.330541828783547,85.47352228752895,0.23529412,0.5,0.2,0.26666667,0.53333333,0.625,0,0.6,0.2,0.2,0.27586207,42,45,87,"sa3016649"
