Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Adrian Sanchez","WSN","AAA",31,56,157,171,40,28,11,0,1,21,18,14,0,35,0,0,0,5,3,0,0.25477707,171,0.08187135,0.20467836,0.4,0.25477707,0.31578947,0.34394904,0.65973851,0.08917197,4.54685385393113,0.32231405,0.30282978247851133,17.390395150167354,-4.697960331457249,0.30075681767268486,78.73105430883933,0.32231405,2,0.175,0.55,0.275,0.24242424,0.03030303,0.3852459,0.26229508,0.35245902,0.10939908,235,414,649,"11338"
"Jake Marisnick","PIT","AAA",31,7,28,31,7,5,2,0,0,2,0,2,0,13,1,0,0,0,0,0,0.25,31,0.06451613,0.41935484,0.15384615,0.25,0.32258065,0.32142857,0.64400922,0.07142857,0.906746017857143,0.46666667,-0.05660385265946388,3.10258200612259,-0.901739747856139,0.29883976713303595,77.48083687430555,0.46666667,0.42857143,0.33333333,0.2,0.46666667,0.42857143,0,0.4,0.33333333,0.26666667,0.15833333,33,87,120,"11339"
"Yasmani Grandal","CHW","AAA",33,6,18,25,6,5,0,0,1,4,1,7,0,2,0,0,0,1,0,0,0.33333333,25,0.28,0.08,3.5,0.33333333,0.52,0.5,1.02,0.16666667,1.080357142857143,0.33333333,-0.08490577898919582,5.977180286809555,2.747888549729935,0.4638488268852234,185.09260771264232,0.33333333,2.5,0.125,0.625,0.25,0.25,0.25,0.625,0.0625,0.3125,0.06481481,55,53,108,"11368"
"Delino DeShields","ATL","AAA",29,79,233,300,54,45,8,0,1,40,19,56,0,74,4,4,4,3,25,10,0.23175966,300,0.18666667,0.24666667,0.75675676,0.23175966,0.38383838,0.27896996,0.66280834,0.0472103,5.155196789944531,0.32716049,-0.26437022956088185,36.58129240392574,-2.1702084410297076,0.324782674762135,94.39967899640146,0.32716049,1.26315789,0.19375,0.45,0.35625,0.21052632,0.01754386,0.39156627,0.22289157,0.38554217,0.09180328,522,698,1220,"11379"
"Ronald Torreyes","PHI","AAA",29,10,35,38,6,5,1,0,0,5,3,3,0,2,0,0,0,1,0,0,0.17142857,38,0.07894737,0.05263158,1.5,0.17142857,0.23684211,0.2,0.43684211,0.02857143,2.642857142857143,0.18181818,-0.05660385265946388,0.9515593374508502,-3.9569641029101725,0.20975845267898158,19.385857050748093,0.18181818,1.41666667,0.12121212,0.51515152,0.36363636,0.33333333,0,0.36363636,0.36363636,0.27272727,0.05263158,36,78,114,"11400"
"Tony Wolters","LAD","AAA",30,50,167,193,36,28,7,1,0,18,24,22,0,51,2,2,2,2,0,0,0.21556886,193,0.11398964,0.2642487,0.43137255,0.21556886,0.31088083,0.26946108,0.58034191,0.05389222,2.707512330357143,0.30508475,-0.22029985301196575,14.916409672211195,-13.428407891680216,0.27654232756461505,52.624821587185934,0.30508475,1.96774194,0.22033898,0.51694915,0.26271186,0.12903226,0,0.38655462,0.26890756,0.34453782,0.08575198,292,466,758,"11470"
"Dixon Machado","SFG","AAA",30,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0.25,0,0,0,0,0,0,0.142857142857143,0,0,-0.7173254374327425,-1.3047827962698701,0,-100,0,3,0,1,0,0,0,0.66666667,0,0.33333333,0.06666667,3,12,15,"11472"
"Dixon Machado","CHC","AAA",30,86,340,391,106,83,20,1,2,46,31,46,0,41,5,0,0,9,10,3,0.31176471,391,0.11764706,0.10485934,1.12195122,0.31176471,0.40153453,0.39411765,0.79565218,0.08235294,4.2458074187614505,0.35016835,-0.30454792361706495,61.33524151064844,10.82911874272317,0.36624743185384806,121.44119989665963,0.35016835,1.57777778,0.21885522,0.47811448,0.3030303,0.16666667,0.02222222,0.45150502,0.26421405,0.28428094,0.05398111,588,894,1482,"11472"
"Odubel Herrera","PHI","A",30,5,19,20,7,5,2,0,0,3,2,0,0,5,1,0,0,0,0,0,0.36842105,20,0,0.25,0,0.36842105,0.4,0.47368421,0.87368421,0.10526316,2.196428580357143,0.5,-0.03723857179284096,3.570076961423858,1.2349389385242306,0.4052387267351151,152.885051179577,0.5,0.83333333,0.21428571,0.35714286,0.42857143,0.33333333,0,0.35714286,0.28571429,0.35714286,0.12359551,32,57,89,"11476"
"Odubel Herrera","PHI","AAA",30,3,13,13,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.15384615,13,0,0.07692308,0,0.15384615,0.15384615,0.23076923,0.38461538,0.07692308,2.642857142857143,0.16666667,-0.007075481582432985,-0.1427706263108052,-1.8220023295922079,0.1669957316838778,-8.502139760213897,0.16666667,1.5,0.16666667,0.5,0.33333333,0.25,0,0.5,0.08333333,0.41666667,0.02272727,16,28,44,"11476"
