idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
21304-AAA-CIN,Mark Kolozsvary,CIN,26,AAA,25,0.223,0.32,0.143,0.12,0.653,0.25,0.19,0.32,0.333,1,1,0,0,0.333,0.417,0.25,18,2022-06-01
sa3008392-AA-TBR,Curtis Mead,TBR,21,AA,30,0.24,0.167,0.08,0.1,0.653,0.273,0.24,0.333,0.32,2,0,1,1,0.364,0.273,0.318,18,2022-06-01
16411-AAA-WSN,Richard Urena,WSN,26,AAA,30,0.24,0.167,0.08,0.1,0.653,0.273,0.24,0.333,0.32,2,0,1,0,0.364,0.5,0.091,18,2022-06-01
sa3017163-A-PIT,Wyatt Hendrie,PIT,23,A,29,0.051,0.379,0.038,0.069,0.653,0.467,0.269,0.345,0.308,1,0,0,0,0.2,0.333,0.4,18,2022-06-01
sa3007511-AA-OAK,Max Schuemann,OAK,25,AA,62,0.19,0.258,0.098,0.097,0.652,0.314,0.216,0.339,0.314,4,0,2,1,0.286,0.429,0.286,18,2022-06-01
19294-AAA-TEX,Nick Solak,TEX,27,AAA,42,0.221,0.238,0.105,0.071,0.652,0.296,0.237,0.31,0.342,2,1,1,0,0.333,0.407,0.259,18,2022-06-01
sa3014711-A-TEX,Maximo Acosta,TEX,19,A,51,0.248,0.137,0.068,0.118,0.652,0.282,0.25,0.333,0.318,3,0,4,2,0.538,0.231,0.231,18,2022-06-01
sa3011114-A-NYM,Fernando Villalobos,NYM,20,A,17,0.26,0.412,0.214,0.176,0.651,0.167,0.143,0.294,0.357,1,1,0,0,0.5,0.167,0.333,18,2022-06-01
sa3003969-AA-SDP,Chandler Seagle,SDP,26,AA,31,0.072,0.258,0.037,0.129,0.651,0.368,0.259,0.355,0.296,1,0,0,1,0.368,0.263,0.368,18,2022-06-01
sa3017220-A-BAL,Ryan Higgins,BAL,22,A,39,0.203,0.282,0.114,0.103,0.651,0.304,0.229,0.308,0.343,2,1,0,1,0.522,0.391,0.13,18,2022-06-01
sa917333-A+-MIN,Jair Camargo,MIN,22,A+,39,0.171,0.308,0.105,0.026,0.65,0.36,0.263,0.282,0.368,2,1,0,0,0.24,0.6,0.12,18,2022-06-01
sa3004979-A+-COL,Eddy Diaz,COL,22,A+,66,0.124,0.212,0.053,0.106,0.649,0.333,0.263,0.333,0.316,3,0,7,2,0.289,0.511,0.178,18,2022-06-01
sa3007016-A-TBR,Michael Berglund,TBR,24,A,21,0.138,0.19,0.053,0.095,0.649,0.333,0.263,0.333,0.316,1,0,0,0,0.333,0.467,0.2,18,2022-06-01
sa3006201-A-ATL,Brandol Mezquita,ATL,20,A,56,0.101,0.286,0.058,0.054,0.648,0.389,0.269,0.321,0.327,2,0,1,1,0.333,0.417,0.306,18,2022-06-01
sa3017155-A+-COL,Robby Martin Jr.,COL,22,A+,42,0.253,0.405,0.205,0.048,0.648,0.273,0.205,0.238,0.41,3,2,1,1,0.227,0.636,0.136,18,2022-06-01
17838-AAA-TEX,Willie Calhoun,TEX,27,AAA,33,0.341,0.152,0.103,0.091,0.648,0.24,0.241,0.303,0.345,1,1,0,0,0.48,0.4,0.12,18,2022-06-01
sa3010037-A-CLE,Yordys Valdes,CLE,20,A,61,0.188,0.295,0.111,0.082,0.647,0.342,0.241,0.295,0.352,5,0,2,2,0.211,0.526,0.289,18,2022-06-01
sa3016959-A+-ARI,Caleb Roberts,ARI,22,A+,53,0.052,0.245,0.026,0.226,0.646,0.308,0.205,0.415,0.231,1,0,2,1,0.192,0.538,0.231,18,2022-06-01
