idlevel,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
14897-AAA,Daniel Palka,NYM,30,AAA,144,115.21948253688196,0.23611111,0.28,0.11904762,0.13194444,0.81544444,0.20987654,0.216,0.31944444,0.496,0.29411765,10,5,0,0,1,0.38202247,0.48314607,0.13483146,2022-05-26
14942-AAA,Andrew Knapp,SEA,30,AAA,12,98.0088558448425,0.33333333,0.33333333,0.1372549,0.16666667,0.77777777,0.0,0.11111111,0.33333333,0.44444444,0.25,1,0,0,0,0,0.8,0.0,0.2,2022-05-26
14973-AAA,Zach Green,SEA,28,AAA,167,84.1873771140882,0.24550898,0.24516129,0.18341308,0.03592814,0.77821132,0.27522936,0.2516129,0.28143713,0.49677419,0.19565217,9,9,1,0,0,0.38983051,0.34745763,0.26271186,2022-05-26
15055-AAA,Dom Nunez,COL,27,AAA,33,-9.944918256775152,0.24242424,0.0,0.13114754,0.12121212,0.31556949,0.14285714,0.10344828,0.21212121,0.10344828,0.0,0,0,0,0,0,0.33333333,0.47619048,0.19047619,2022-05-26
15104-AAA,Jonathan Davis,MIL,30,AAA,106,136.78080034051942,0.21698113,0.06172839,0.08219178,0.19811321,0.81085488,0.39655172,0.2962963,0.45283019,0.35802469,0.06666667,1,2,0,9,1,0.26315789,0.50877193,0.22807018,2022-05-26
15124-AAA,Tim Locastro,NYY,29,AAA,19,114.7009855134336,0.26315789,0.0,0.15189873,0.15789474,0.73355263,0.45454545,0.3125,0.42105263,0.3125,0.0,0,0,0,0,0,0.18181818,0.63636364,0.18181818,2022-05-26
15189-AAA,Dustin Peterson,MIL,27,AAA,11,130.8340513214808,0.09090909,0.14285715,0.07142857,0.36363636,0.74025974,0.16666667,0.14285714,0.45454545,0.28571429,0.0,0,1,0,0,0,0.33333333,0.33333333,0.33333333,2022-05-26
15189-AAA,Dustin Peterson,PHI,27,AAA,120,78.80046487290298,0.275,0.12962963,0.106,0.075,0.66111111,0.31081081,0.23148148,0.3,0.36111111,0.07407407,2,6,1,2,1,0.36,0.46666667,0.17333333,2022-05-26
15194-AAA,Jake Bauers,CIN,26,AAA,96,76.65677245515505,0.27083333,0.15584415,0.09200969,0.1875,0.62418831,0.18367347,0.15584416,0.3125,0.31168831,0.10714286,3,3,0,3,2,0.53846154,0.30769231,0.15384615,2022-05-26
15214-AAA,Brandon Dixon,SDP,30,AAA,6,-100.0,0.5,0.0,0.22727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.33333333,0.66666667,0.0,2022-05-26
15271-AAA,Austin Wynns,PHI,31,AAA,109,181.8483189951898,0.14678899,0.1547619,0.06507592,0.21100917,1.01190476,0.41538462,0.35714286,0.5,0.51190476,0.12,3,4,0,1,0,0.37313433,0.34328358,0.28358209,2022-05-26
15402-AAA,Jack Mayfield,LAA,31,AAA,9,-3.088615577237521,0.22222222,0.0,0.03225806,0.11111111,0.36507936,0.16666667,0.14285714,0.22222222,0.14285714,0.0,0,0,0,0,0,0.5,0.5,0.0,2022-05-26
15429-AAA,Kris Bryant,COL,30,AAA,7,74.63862330240674,0.14285714,0.14285714,0.10714286,0.0,0.71428572,0.33333333,0.28571429,0.28571429,0.42857143,0.0,0,1,0,0,0,0.25,0.5,0.25,2022-05-26
15482-AAA,Aristides Aquino,CIN,28,AAA,42,191.7705028677802,0.35714286,0.42857143,0.17777778,0.0952381,1.14761904,0.41176471,0.31428571,0.4047619,0.74285714,0.44444444,4,3,0,2,0,0.42857143,0.19047619,0.38095238,2022-05-26
15487-AAA,Victor Reyes,DET,27,AAA,18,284.2455796819073,0.0,0.5,0.01639344,0.16666667,1.55555556,0.38461538,0.5,0.55555556,1.0,0.66666667,2,1,0,1,1,0.2,0.6,0.2,2022-05-26
15519-AAA,Franklin Barreto,HOU,26,AAA,149,29.73090420028609,0.36241611,0.11278195,0.2046589,0.09395973,0.51228743,0.23376623,0.15789474,0.24161074,0.27067669,0.10714286,3,4,1,4,3,0.35443038,0.44303797,0.20253165,2022-05-26
15535-AAA,Joseph Odom,SEA,30,AAA,103,125.10118568512674,0.41747573,0.3,0.18526786,0.12621359,0.92588997,0.425,0.26666667,0.3592233,0.56666667,0.38888889,7,6,0,1,0,0.39130435,0.34782609,0.26086957,2022-05-26
15564-AAA,Tyler White,MIL,31,AAA,136,103.52453941203478,0.21323529,0.19469027,0.06434783,0.15441176,0.74531494,0.2278481,0.21238938,0.33823529,0.40707965,0.13636364,6,2,1,3,0,0.53658537,0.29268293,0.17073171,2022-05-26
15585-AAA,Mike Ford,SFG,29,AAA,13,96.3414616418551,0.07692308,0.0,0.0,0.46153846,0.46153846,0.0,0.0,0.46153846,0.0,0.0,0,0,0,0,0,1.0,0.0,0.0,2022-05-26
15585-AAA,Mike Ford,SEA,29,AAA,47,130.0385429965387,0.08510638,0.17073171,0.05649718,0.10638298,0.8920602,0.31428571,0.31707317,0.40425532,0.48780488,0.28571429,2,1,0,0,0,0.19444444,0.55555556,0.25,2022-05-26
